seed,input_kichwa,referencia_es,prediccion_es
123,Imasha Al Capone tiempopi alcohol prohibiciónwan.,Como en los tiempos de Al Capone con la prohibición del alcohol.,"En el tiempo al Capone, la prohibición de alcohol."
123,Paktarak shimikunawan.,"Señora, tenga cuidado con las palabras.",Eso es una emisora.
123,"Kikinka manachu yachanki, pushak alcaldesa, covid unkuyka huchakuna hunta kashkamanta, supaypak ruraykunami kan,t ukuy runakunata manchachishka charinkapak?","¿Acaso usted no sabe, señora alcaldesa, que el covid es el resultado de la acumulación de pecados, que es una táctica de Satanás para desatar el pánico y controlar a la humanidad?","No sé, alcaldesa, covid es una de las nias que se encuentra a la escuela del ro, y qué tienen que hacer?"
123,Chaymi kanta kayashkani.,Por eso te he llamado.,Eso es cierto.
123,"Dios yayapak, Dios churipak, Espíritu Santopak.","En el nombre del Padre, del Hijo y del Espíritu Santo.",Espritu Santo es Dios.
123,"Mana, pushak juez.","No, señor juez.","No, juez."
123,Hawa pachamanta ushashka punchayamurka.,Comenzaron a caer rayos y centellas.,Y ese agua está en la escuela.
123,"Chaykunatami uyachik antapa willachina kanchik, tukuy yachachun.",Esas cosas tenemos que decir en la radio para que se sepan.,Esos amigos están trabajando en el Barrio del Pueblo.
123,Nachu shina yari.,¿No es verdad?,No sé.
123,Ashtaka ayllukunami kikinkunata katinakun.,Muchas familias están siguiendo ese buen ejemplo.,Y esos amigos están ayudando las cosas.
123,"Wayra purichun, ventanakunata paskashka kachun.",Con ventanas abiertas para que el aire circule.,Y las ventanas están en el ro.
123,"Kiwa yakuta upiyashpa, ñallami alli tukunka.","Pero tomando sus hierbitas, ya va a mejorar.","Cómo se llama eso, seora?"
123,Shinaka tomate wiñankakaman imatapash rurana kanchik.,"Pero en lo que crecen los tomates, tenemos que hacer algo.",Pero el tomate no tiene ningn ttulo.
123,"Uyay, uyay, kikinta, ari, kikinta nini, mashi.","Ey, usted, amigo.","Y qué, ya sabe, seora?"
123,"Chaypichu kanki, Miguelina?",¿Estás ahí?,"Qué dice, Miguelina?"
123,Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,Ese partido poltico está en ese pas.
123,"Achkatatak mancharirinika, paniku.","Se me eriza la piel, hermana.","Eso es cierto, seora."
123,"Shinapash, mama.","Pero, señora.","Pero, madre."
123,Chay kawsayta kuyanchik nikkunaka kashnami nishkakuna.,Esos provida que tú dices se inventaron como así.,Y aqu tenemos que hacer esos trabajos.
123,"Ay, ima nini yari.",Quiero decir.,"Ay, no sé."
123,Shinapash yarkayka mana rishkachu.,Pero el hambre no ha desaparecido.,Eso no es cierto.
123,"Panika mancharishkami, razónta charinmi.",La hermana está alterada y no le falta razón.,"Gracias, razón."
123,"Shinallatak, yachanami kankichik alli kawsaypak.",Y también tienen que aprender cosas útiles para la vida.,"Pero, como eso no sabemos nada."
123,Shinami shuk yuyak runa nin karyan.,Así decía un filósofo.,Eso es una buena cosa.
123,Pay presidenteka wañuchik presidentemi kan.,Fue un presidente criminal.,Ese presidente es una presidenta muy sencilla.
123,Chaykunami allipacha lavanderíakuna kan.,Esas son las verdaderas lavanderías.,Esos lavanderas están en el ro.
123,"Shinapash ñukaka mana oro kanichu tukuykuna alli rikuchun, alcaldesa.","Bueno, no soy monedita de oro para caerle bien a todos, Alcaldesa.","Pero yo no tengo ninguna oro, alcaldesa."
123,Shuk kuchikuta rifapi churakripanchik.,Y una rifa por un chancho asado.,Y aqu tenemos esos das.
123,Tukuyta apakrini.,Me los llevo todos.,Eso es lo que llamamos.
123,Mana kullkipak llamkanchikchu ninakun.,Ellos dicen que no tienen fines de lucro.,No tienen ningn trabajo.
123,Huyayay Cristo Rey!,¡Y viva Cristo Rey!,"Gracias, Cristo Rey!"
123,"Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik.","Pues sobre eso mismo, Fredy, sobre la discriminación, somos diferentes.","En ese momento, Fredy, la discriminación está muy importante."
123,"Mashikuna, ñukanchik tantanakuyka wiñashkami.","Bueno, compañeros, compañeras, nuestro partido ha crecido.","Seoras, ustedes tienen el trabajo."
123,"Kikin nishkanki, yankalla uyachik antami.","Usted lo ha dicho, una radio pirata.",Eso es lo que voy a hacer.
123,"Mashikuna kayman shamushpa napaykunata, ima willachiykunata chayachikpi allimi kan.","Que la gente venga aquí a saludar, a denunciar, está mejor.","Y a m en ese pas, ya no sé cómo trabajar."
123,"Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.","Kunas, Nahuas, Mayas, Shipibos, Boras.","Los nios, los hijos y los marinos, el shipigo, las boracas."
123,Tukuykuna internetta charichunmi kaparishun.,Exigiremos un acceso universal a internet.,Los trabajadores tienen internet.
123,Imashpatak na shuk tiendata churanchik?,¿Por qué no ponemos una tiendita?,Y qué tienen ese tnel?
123,"Ari, shinami, Fredy.","Sí, exactamente, Fredy.","S, seor Fredy."
123,Imatak shinashun.,¿Qué hacemos?,Eso es cierto.
123,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
123,Shinapash kaypi kawsakkunapa mutsurinakunatapash rurashunmi.,Se ecompromete con varias obras sociales.,Pero en este pas hay que ayudarse con las mujeres.
123,"Kanta, ñukanchik Matildita ushikutapash.","A ti y a Matildita, nuestra hijita.","Bueno, yo tengo Matildita."
123,Chay Guapo nishka na hapichishka kakpika wichashun nishpa maskanakun.,Ese Guapo cuando no está preso lo andan buscando.,Y ese Guapo no tiene ningn trabajo en las escuelas.
123,"Ari ari, chay.","Sí sí, eso.","S, s."
123,Shina rimakun mana sakishachu.,Y eso no lo voy a permitir.,Eso no es cierto.
123,"Yachana wasiman tikrankapak, shinaka chayka kikinkunapak hawa.","Volver a clases, pero eso sí, bajo la responsabilidad de ustedes.","Eso es una buena cosa, y ahora tenemos que hacerse."
123,"Alli mikuytaka charinchikmi ñukanchik yuyukunata, murukunata huntachishpa mikuna kanchik.",Cuantos más colores hay en el plato mejor estamos comiendo.,Nosotros tenemos que aprender en el barrio de las mujeres.
123,Kikinka imatatak ningui kay hawa?,¿Qué propone usted sobre esto?,Y qué es lo que hay?
123,Ninan nanayta charirka apéndice nishkawan.,Era una apendicitis aguda.,No tiene ningn apéndice.
123,Ñukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.,Por una ventaja de nueve puntos había ganado nuestro candidato Amaru Sánchez.,Amaru Sánchez es un candidato a la candidatura.
123,"Nishkata paktachishpa, Amaru Sánchezman uchalla willaykunata kunkapak paypa ayllullaktaman rirkani.","Dicho y hecho, me fui a calentarle las orejas al dirigente Amaru Sánchez en su comunidad río arriba.","Pero ahora, Amaru Sánchez es una gente que está en la escuela de las nias."
123,"Ari, ari, makita satishpa, ashnan, petróleo hicharishka.","Sí, sí, metan sus manos, apesta, petróleo derramado.","S, s y el petróleo está abierto."
123,Kaytaka kay organización mundial de la salud ukumantami shina nirka.,Ya lo declaró la Organización Mundial de la Salud.,Esto es una organización mundial de la salud.
123,"Pusak pacha tutapimi, municipiota pushak maykan misharishkataka yachashun.","A las 8 de la noche, ya están los resultados de las elecciones municipales.","Por ejemplo, la municipio tiene que llevar a las escuelas."
123,Kunanka chay hampikunataka imapash mishkitashna shina karan karankichikchi.,"Lo único que falta ahora es que se pongan a repartir anticonceptivos, como quien regala caramelos.","En ese momento, las hambres están trabajando en la escuela."
123,"Tuparishun, mashikuna, tuparishun.","¡Hasta la vista, señores!","S, amigos, siempre s."
123,"Ñukataka pipash mana kayashkachu, shinapash uchalla chayakrini.","A mí nadie me invitó, pero voy a tratar de llegar a tiempo.","Pero yo no sé, pero estoy en el mundo."
123,Ashtawan uyakkunata charin.,Cada vez tienen más audiencia.,Eso es lo que tiene.
123,Chunka chusku capítulo,Capítulo catorce,Captulo da
123,"Shinami yarin, sukta semanakuna shina kanka.","Algo así, Unas seis semanas.","Bueno, esos semanas s."
123,"Chayta, chayta rikuy.",Miren a aquel.,"S, s."
123,Tukuyllatakpacha.,Todas.,En el Barrio del Sol.
123,"Ay, tayta Dios, ay, tayta Dios.","Ay, santo Dios, ay, santo Dios.","Ay, tayte Dios."
123,"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",Si la “normalidad” que teníamos antes es el problema de ahora.,"Y en ese pas, ahora, estas palabras son la normalidad de la gente y de los nios."
123,"Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.","Mientras los de la radio estaban grabando en la desembocadura del río, el gerente de la empresa minera llegó a la Alcaldía.","En el Barrio del Alcalda, la gente se acuerda con las mineras gerentes de la minera."
123,Kikinpaka pushak kashkamanta ashtawan imakunata ? rikushunmi.,"Naturalmente, para usted, como director, tendríamos una consideración especial.",Cómo vamos a hacer esos amigos?
123,Ñukaka kushillami kani.,Yo estoy contento.,Eso es lo que voy a hacer.
123,Alli pacha.,Qué bueno.,Gracias.
123,"Wakllishka, ninkapak munanki.","Malogradas, querrá decir.","Gracias, yo no sé."
123,"Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.","Conozco el dicho, pero no sé a qué se refiere, Amaru Sánchez.","S, yo no sé, pero tengo que hacer eso, Amaru Sánchez."
123,Pichulami kan.,Pichula.,Eso es cierto.
123,"Imashinatak ñawpaman apakrinki alcaldíataka, consejo municipalwanpash imashinatak kakrin?",¿Cuál será su estilo de gobierno en la Alcaldía y con el Concejo Municipal?,"Cómo se llama alcalda, el consejo municipal?"
123,Ñuka Matildita ushikuka yachaytapash na yachanchu paypa wiksapi ima pasakukta.,Y mi hija Matildita ni sabe lo que está pasando en su cuerpo.,Mi Matildita es una mujer que no tiene ningn trabajo.
123,Nimata mana killkashkanchikchu cobardekunamantaka.,De los cobardes no se ha escrito nada.,No tienen ninguna cobarde.
123,"Chaykunaka curakuna, pastorkuna nin.",Eso dicen los curas y los pastores.,"Y esos cuarans, pastors."
123,"Mana mana, wawa, mana pichula kanchu.","No no, niños, ninguna pichula.","No, nio, no sé."
123,Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.,¿Y por qué con esas telas no cose unas cuantas mascarillas?,Pero las pintas no son mascarillas.
123,Imashinatak kawsakunki?,¿cómo va esa vida?,Qué dices?
123,Ñukanchikta llakichishpa sakishka.,Se burlaron de nosotros.,Eso es lo que voy a hacer.
123,"Shuk muyu shina, kiru tukunkapakka ashtaka pachakuna yallinarakmi.",Como una semilla que le falta mucho para ser un árbol.,"Eso es cierto, y aqu tenemos que llevar las cosas."
123,Unkushkachu kanki?,¿Estás enferma?,No sé?
123,Yarkaymantaka imatapash shinarinllami.,El hambre justifica los medios.,En el Barrio del Pueblo
123,"Eusebio, niway.","Eusebio, dime.","Eusebio, seora."
123,Apolonio Jaboneropa ayllullaktapi purikun.,Apolonio en el Barrio del Jabonero.,Apolonio Jabonero está en el barrio.
123,"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.","Sí sí, me han dicho que ahora está metido en drogas.","Bueno, las drogas están satirando."
123,Chashnapish prueba covidta katuk warmitaka ñami hapirkakuna.,"Bueno, al menos a la que vendía las pruebas de covid en la bodega, ya la agarraron.",Es una prueba de covid que tenemos en el barrio de las mujeres.
123,"Servinkapak kaypimi kani, pushak juez.","Para servirle, señor Juez.","Eso es lo que tiene, seor juez."
123,"Aha, imatak kaypi maskanki, Fredy.","Ajá, ¿y qué te trae por aquí?","Aha, cómo dice eso, Fredy?"
123,Allita nishpaka ñukanchik tukuchikrinakunchik.,Di mejor: lo vamos a acabar.,Y ahora tenemos que hacer esos amigos.
123,"Ari, chaymantami imatapash rurana kanchik, Magdalena.","Sí, por eso tenemos que hacer algo, Magdalena.",Seora Magdalena.
123,Pakallachu llukshirka?,¿O se escapó?,Cómo estás haciendo?
123,"Apolonio Gutiérrez, kanka shuk hatun huchachiytami charinki.","Apolonio Gutiérrez, hay una acusación muy grave en su contra.","Apolonio Gutiérrez, ese ao se llamó."
123,"Shinapash tukuymi wicharishka, ni shuk emisora mana yaykunchu.","Y la respuesta fue que “el espectro está saturado”, que no cabe ni una emisora más.",Pero esa emisora no tiene nada.
123,Na shina shinalla ashtawanmi mirakun.,Son más frecuentes de lo que pareciera.,No sé como eso.
123,Na yuyarikpika yachachisha.,"Si no se acuerdan, los enseñaré.",No sabemos nada.
123,Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,La violación en las escuelas de los nios está tan rápido.
123,Uyachik antata uyankichik.,Escuchen su radio.,Eso es lo que voy a hacer.
123,"Despenalizashka tukuy droga, marihuana, cocaina, shinallatak heroínata chupakkunata.","Han despenalizado el consumo de todas las drogas, desde la marihuana hasta la cocaína y la heroína.","Despenalizados tienen drogas, marihuana, cocana y heronos."
123,"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es lo que sabemos, ayudarse, seora."
123,"Ari ari, shinapash, imasha imasha?","Sí, pero ¿cómo?",Qué dices?
123,"Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak wañushkakunata, waranka contagiarishkakunamanta.","Esas emisoras y los canales de televisión solo pasan accidentes, que si ya murieron cien con el virus, que se contagiaron mil.",Y aqu tenemos que hacer esos pases y encontrarse con las contagias.
123,"Kari wawakunatapash, ari, wakinpika kashna llakikunaka mana tiyanchu yuyanchik ñukanchik ayllullaktakunapi.","De niños también, sí, una pensaría que son casos excepcionales.","Esas mujeres, ah, no tienen ningn trabajo en las escuelas del mundo."
123,"Chikan chikan tarpushun, tantanakushupa katushun.",Sembramos separadas pero vendemos juntas.,Gracias a la gente que el ro está haciendo.
123,"Shinami, shinapash mana tukuykuna kay caretawan runakunataka charinchu mashi.","Sí, pero no todo el mundo tiene gorras con careta.",Pero no tienen ningn trabajo en las carreteras.
123,Ama kutinpash shulluchik hampikunawanka satirichu.,No se meta otra vez en líos con el médico que hace abortos,No tenemos ninguna enfermedad de agua.
123,"Mana mana, Lula.","No no, Lula.","No, Lula."
123,Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.,Lo primero que vamos a hacer es denunciar que en esta comunidad no llega el internet.,"Pero en el mundo, la internet no tiene ningn trabajo."
123,"Kunanka visitakuna, solicitudkuna, presupuestokuna, proyectokuna kallarimun.","Y ahora comienzan las visitas, las solicitudes, los presupuestos, los proyectos.","En las visitas, solicitudes, presupuestos y proyectos."
123,Nachu pinkanayan?,¿No te da vergüenza?,No es cierto?
123,"Mana, killa kullkipish na tiyanchu, nima centavo.","Tampoco hay salario, ni un centavo.","No, es un centavo."
123,"Kishpichiway, Eusebio.","Lo siento, Eusebio.","Gracias, Eusebio."
123,Yanapariy Pachakamak yanapachun.,Ayúdate que Dios te ayudará.,En el Barrio del Pueblo.
123,"Na kankachu, chayka na kankaka.",No será así.,"No, no no."
123,"Ari, mashi Eusebio.","Sí, don Eusebio.","S, seor Eusebio."
123,Tukuyta willana.,Que le cuenten todo.,Gracias.
123,"Yankata willaykuna uyarin, na alli rimaykunawanpash uyarin, ari, chisme nishkakuna.","Corren los rumores, mejor dicho, los chismes.","Y esos amigos, ya sabemos, están trabajando."
123,Imatapash tarina kanchik.,Hay que encontrar algo.,Y ese ao no sabe.
123,Ciudadanokuna.,"Ciudadanas, ciudadanos.",Ciudadanos.
123,Ñukapash kushikuni.,El gusto es mío.,Eso es lo que voy a hacer.
123,Amaruka Alcaldíapi tiyakun.,Ahí está Amaru sentado en la Alcaldía.,Amaru Alcalda está en el Barrio del Sol.
123,"Chusku pachakunata, lunesmanta vierneskaman paga illak llamkakrinki.",Cuatro horas diarias lunes-viernes sin goce de haber.,Y el lunes y viernes se llevaron a la escuela.
123,Ñukanchik yaya mamakunapak pachapi shina.,Como en los tiempos de nuestras abuelas.,Y yo sabemos que las mujeres están en el pas.
123,"Allikuta rimashpaka, kaypika política nishkaka katuna pampa shinami kan.","Les soy sincero, aquí la política parece una feria.","En ese pas, esta poltica no tiene ningn trabajo."
123,Estadoka laico nishkami kan.,El estado es laico.,Estado laico.
123,Chayka mishanka mishankami.,Ése gana porque gana.,Eso es lo que voy a hacer.
123,Chashnallatak hawapi antenata churakrinchik.,Tiene una buena azotea para la antena.,En el Barrio del Pueblo.
123,Wañuchikkuna ama tiyachun.,Que no hayan asesinos.,No sabemos nada.
123,Ruku políticokunaka normalidadman tikranata rimanakun.,Los políticos viejos hablan de volver a la normalidad.,Y los polticos tienen una normalidad.
123,Ama chinkaychikchu.,No se lo pierdan.,No sé.
123,Na yapata investigana ministirinchu.,No hay que investigar mucho.,No es una investigación ministria.
123,Chunka capítulo,Capítulo diez,Captulo da
123,Ñuka churi Fredywan kushillami kani.,"Yo estoy orgulloso de Fredy, mi hijo.",Mi hijo Fredy está en el Barrio del Sol.
123,Doña Gumersinda.,Doña Gumersinda.,Doa Gumersinda.
123,"Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.","Alcaldesa Magdalena Ayala, un gusto conocerla y saludarla.","Alcaldesa Magdalena Ayala, el nio, está en la escuela."
123,"Ari, shinapacha.","Sí, eso.","S, seora."
123,"Apolonio, kikinpa tantanakuyka maykantak kan?","¿Y cuál es su partido, señor Apolonio?","Apolonio, qué es lo que hay?"
123,Ninan ninan kushikushka karkanchik.,Estamos recontra felices.,No hay ningn problema.
123,Martaku.,Martita.,Martaku.
123,Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la ciudad de la Jabonero
123,"Shinaka, coronaviruska mana treguata kunchu.","Bueno, pues, la mala es que el coronavirus no da tregua.",Eso no es treguado por coronavirus.
123,"Mana, mana.","No, no.","No, no."
123,Makipi chakipi churana rantika.,Pues en vez echarlo en las manos o en los zapatos.,Y yo sabemos eso.
123,"Kanpa wawa chichuyashkata yachakchayashpaka, ishkantitami wichashpa sakinka, Marta.","Si interrumpimos el embarazo de tu hijita y se enteran, vamos presos tú y yo también.","Y esa nia está en la escuela, Marta."
123,"Alcaldesa, nachu kikinllatak kutin sakirinkapak kapanki?","Usted, Alcaldesa, se va a reelegir, me imagino.","Alcaldesa, cómo vamos a hacer eso?"
123,"Kankunaka gobiernomanta, pushakmanta kankichik.",Y que ustedes son señores del gobierno.,Y todos los gobiernos están en el pas.
123,"Shuk rueda de prensatami rurakrinchik, chaypi tapuykunata kutichinkapak.",Vamos a hacer una rueda de prensa y respondo todas las preguntas.,Ese rueda de prensa ya está en el Barrio del Pueblo.
123,Shuk monjami celularpi rimakurka.,Hay una monja que habla en el celular.,Ese monj es una monja celular.
123,Shuk shukta willachishpa purikrichunchu munanki?,¿Quieres que vaya una por una avisando?,Cómo vamos a hacer eso?
123,Lunes punchata kallarishpa viernes punchakaman chusku orasta llamkakun.,Lunes a viernes cuatro horas pagando su pena.,Lunes es una buena oración en las escuelas de viernes.
123,"Mana atallpa shina kapariychu, manarak lulunta wachashpaka.",No hay que cacarear los huevos antes de ponerlos.,No tiene ningn trabajo y no tenemos una lulunta.
123,Chaypipash tuksinakunamanta ninan mutsurishkakunamanta rimankapak.,Y explicar la importancia de las vacunas.,Eso es lo que llamamos en las escuelas.
123,"Rikuychik, reguetónta takik chica fuego kuytsapashmi candidata tukushka.",Y hasta la reguetonera Chica Fire se lanzó como candidata.,"Seoras, el candidato de la reguetón a la chica fuego."
123,"Mana, mama, mana.","No, no, no.","No, mama, no."
123,"Mama, ñukaka puñukurkanimi.","Mamá, yo estaba durmiendo.","Mamá, yo estoy haciendo."
123,"Mana shinachu, mashi.","No es así, señora.","No sé, seor."
123,"Wawa, kunanka ima punchatak kan?","¿Qué día es hoy, hijo?",Y qué dices?
123,Ama kayta rurawaychikchu.,No me hagan esto.,No sabemos eso.
123,Shinachari kan?,"¿Así es la cosa, mariposa?",Qué dices?
123,"Macondopi nishka shina tamyaka mana shayarirkachu nin, shinallatak kaypi tamyarka.",Como el de Macondo donde dicen que no paraba de llover.,"La Macondopi no tiene ningn trabajo, pero está en ese pas."
123,Wakin llantakunata charinkapak pachamamapa alli yanapawashkami.,Hoy me ha ayudado Dios a tener algunas llantas para parchar.,Los llantas tienen que hacer una buena ayuda.
123,"Ari, ari, ña uyarkanimi Manolo kaypi llamkankapak munakta.","Sí, sí, ya escuché que Manolo quiere trabajar con nosotros.","Y ahora, ya sabemos que Manolo está en ese pas."
123,Ñuka urpiku.,Conejita mía.,Yo me gustó.
123,Kikinka nachu chay síndrome de Down nishkawan churita charinki?,¿Usted no es el que tiene un hijo down?,Y qué es la sndrome de Down?
123,Chay tantamantallatak muspaña,Carecos de la misma argolla,Esto es una mujer.
123,Wiksa urapi kuchushkata rikupaylla.,Puede comprobar la cicatriz en su bajo vientre.,La gente es muy rápida.
123,"Kanpa churika sinchillamkak wamprami kan, Eusebio.","Muy trabajador tu hijo, Eusebio.","Eso es una buena ayuda, Eusebio."
123,Policía ñami shamukun.,La policía ya viene de camino.,La polica está en ese pas.
123,"Ari, chaymantallatak, kay tantanakuypika yachak tukushkakunata mana munanchikchu.","Por eso mismo, en este grupo no queremos caudillos sabelotodo.","Seora, ya no sabemos que en ese pas hay nias que no se han tenido."
123,Josefina kumariman willakrini.,Le voy a contar a mi comadre Josefina.,Josefina está en el Barrio del Sol.
123,Ñami ñami bonokunata kunakunchik pandemiamanta wichashka uchilla comersiantekunaman.,Ya estamos dando bonos a los pequeños comercios que han cerrado por la pandemia.,Mi bonos y mi comera están en la pandemia.
123,"Allika yanapariykuna, mushuk proyectokunata llukchinkapak yuyaykuna, tantanakushpa llamkaykuna.","Lo mejor: la solidaridad, la imaginación para emprender proyectos nuevos, negocios cooperativos.",Y ahora tenemos que hacer las proyectos y llevarlas.
123,Waktashkakunata rikuchiway.,Enseñe los golpes.,La gente está en el ro.
123,"Yuyariychik, ima shinatak waminsi wasipika yallishkata.",Acuérdense de lo que pasó en la casa rosada.,Y yo sabemos que ese agua está trabajando.
