audio_path,kichwa_original,kichwa_normalizado,kichwa_json_match,espanol,tipo_match,score
87.mp3,Tushuykunata ruray ushanchik.,tushuykunata ruray ushanchik,tushuykunata ruray ushanchik,Podemos hacer bailes.,exacto,100.0
8.mp3,Jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,En el Barrio del Jabonero,exacto,100.0
122.mp3,"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.",ari ari kunanka drogakunapi satirishka nishpa willachiwashka,ari ari kunanka drogakunapi satirishka nishpa willachiwashka,"Sí sí, me han dicho que ahora está metido en drogas.",exacto,100.0
222.mp3,"Apoloniopak warmi, ari, Marta, payka ñuka kumarimi kan.",apoloniopak warmi ari marta payka ñuka kumarimi kan,apoloniopak warmi ari marta payka ñuka kumarimi kan,"La mujer de Apolonio, sí, Marta, ella es mi comadre.",exacto,100.0
56.mp3,Chaymanta chay ukumanka chayanillami.,chaymanta chay ukumanka chayanillami,chaymanta chay ukumanka chayanillami,A cada rato me doy una vuelta por allá.,exacto,100.0
182.mp3,Kay llaktamanta tukuy ayllukunapa alli kawsayta wakllichinakunkichik!,kay llaktamanta tukuy ayllukunapa alli kawsayta wakllichinakunkichik,kay llaktamanta tukuy ayllukunapa alli kawsayta wakllichinakunkichik,"¡Porque están destruyendo las familias, la moral, las buenas costumbres de este barrio!",exacto,100.0
147.mp3,Mana allita wakinpika na allita rikuchinllami kawsayka.,mana allita wakinpika na allita rikuchinllami kawsayka,mana allita wakinpika na allita rikuchinllami kawsayka,[MISSING],exacto,100.0
130.mp3,Tukuylla markapimi kanchik.,tukuylla markapimi kanchik,tukuylla markapimi kanchik,Están prácticamente en toda la provincia.,exacto,100.0
132.mp3,"Wakinkunaka pandemiaka supaykunapakmi nin, shukkunaka canela yakuwan hampinalla nin.",wakinkunaka pandemiaka supaykunapakmi nin shukkunaka canela yakuwan hampinalla nin,wakinkunaka pandemiaka supaykunapakmi nin shukkunaka canela yakuwan hampinalla nin,"Unos diciendo que la pandemia es por el diablo, otra diciendo que se cura con té de canela.",exacto,100.0
176.mp3,Jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,En el Barrio del Jabonero,exacto,100.0
35.mp3,"Derechos humanokunata tapurkani, ochenta por ciento shuwaykuna y crimenkuna ñukanchik llaktapi relacionado kan, drogaskunawan niwan.",derechos humanokunata tapurkani ochenta por ciento shuwaykuna y crimenkuna ñukanchik llaktapi relacionado kan drogaskunawan niwan,derechos humanokunata tapurkani ochenta por ciento shuwaykuna y crimenkuna ñukanchik llaktapi relacionado kan drogaskunawan niwan,Consulté a Derechos Humanos y me dicen que el 80 por ciento de los robos y crímenes en nuestro país están relacionados con las drogas.,exacto,100.0
85.mp3,Mana alli muskuyshinami karka.,mana alli muskuyshinami karka,mana alli muskuyshinami karka,Era una pesadilla.,exacto,100.0
114.mp3,"Tukuy kurita españolkuna apashpa rishka, chaymantaka ñukanchikmanka espejota shinalla sakishka mana yari.",tukuy kurita españolkuna apashpa rishka chaymantaka ñukanchikmanka espejota shinalla sakishka mana yari,tukuy kurita españolkuna apashpa rishka chaymantaka ñukanchikmanka espejota shinalla sakishka mana yari,"Como los españoles cuando llegaron por acá, oro por espejitos.",exacto,100.0
37.mp3,Ñukanchik uyachik antata kallarichiy pachapi kapanchik.,ñukanchik uyachik antata kallarichiy pachapi kapanchik,ñukanchik uyachik antata kallarichiy pachapi kapanchik,Estamos inaugurando nuestra radio comunitaria.,exacto,100.0
54.mp3,Ama mascarillata kunkanki.,ama mascarillata kunkanki,ama mascarillata kunkanki,No olvide su mascarilla.,exacto,100.0
157.mp3,"Tukuy comunakunapash, shuk cancha de fútbolta kushun nikpika, ari ninkallami.",tukuy comunakunapash shuk cancha de fútbolta kushun nikpika ari ninkallami,tukuy comunakunapash shuk cancha de fútbolta kushun nikpika ari ninkallami,"Y toda comunidad también, se les ofrece una cancha de fútbol y cambian de opinión.",exacto,100.0
58.mp3,Llamkashpallami suerteta charinchik.,llamkashpallami suerteta charinchik,llamkashpallami suerteta charinchik,El trabajo es lo que da la suerte.,exacto,100.0
25.mp3,"Ña na consumidorkuna tiyan, ashalla tiyan.",ña na consumidorkuna tiyan ashalla tiyan,ña na consumidorkuna tiyan ashalla tiyan,"No hay más consumidores, hay menos.",exacto,100.0
4.mp3,Kaypimi kani.,kaypimi kani,kaypimi kani,Estoy aquí.,exacto,100.0
186.mp3,"Panika mancharishkami, razónta charinmi.",panika mancharishkami razónta charinmi,panika mancharishkami razónta charinmi,La hermana está alterada y no le falta razón.,exacto,100.0
131.mp3,"Yukuna, yumana, sexo nishkaka kampakllamari kan, nachu shina kan?",yukuna yumana sexo nishkaka kampakllamari kan nachu shina kan,yukuna yumana sexo nishkaka kanpakllamari kan nachu shina kan,"El sexo es lo más íntimo, lo más tuyo, ¿no?",fuzzy,98.36065573770492
90.mp3,Kikinka chaytallatak ninki.,kikinka chaytallatak ninki,kikinka chaytallatak ninki,Eso dice usted siempre.,exacto,100.0
64.mp3,"Ama manchapaychu, pushak gerente.",ama manchapaychu pushak gerente,ama manchapaychu pushak gerente,"Ténganlo por seguro, señor gerente.",exacto,100.0
35.mp3,"Imashinalla mashi, imashinalla.",imashinalla mashi imashinalla,imashinalla mashi imashinalla,¿Cómo estás?,exacto,100.0
140.mp3,Imatak ninki?,imatak ninki,imatak ninki,¿Qué dices?,exacto,100.0
129.mp3,Imatak pasanyari?,imatak pasanyari,imatak pasanyari,¿Qué les pasa?,exacto,100.0
182.mp3,Ayllutapachami chayka wakllichinka.,ayllutapachami chayka wakllichinka,ayllutapachami chayka wakllichinka,Es la destrucción de la familia.,exacto,100.0
30.mp3,Mana ñuka churi kashkamanta shina ninichu.,mana ñuka churi kashkamanta shina ninichu,mana ñuka churi kashkamanta shina ninichu,Y no porque sea hijo mío.,exacto,100.0
148.mp3,Tayta cura.,tayta cura,tayta cura,Señor cura.,exacto,100.0
92.mp3,Shinapash mashi Amaru imatak ninki?,shinapash mashi amaru imatak ninki,shinapash mashi amaru imatak ninki,"Pero, ¿usted qué dice, Amaru?",exacto,100.0
50.mp3,Chay mana alli ruraykunata tukuchinkapak.,chay mana alli ruraykunata tukuchinkapak,chay mana alli ruraykunata tukuchinkapak,Una ley que rompa esos monopolios.,exacto,100.0
61.mp3,Ashtawan yachanayan?,ashtawan yachanayan,ashtawan yachanayan,¿Quieren saber más?,exacto,100.0
209.mp3,Jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,En el Barrio del Jabonero,exacto,100.0
173.mp3,"Kay mamallaktapika tukuylla, tukuylla pachami chapurishka kanchik.",kay mamallaktapika tukuylla tukuylla pachami chapurishka kanchik,kay mamallaktapika tukuylla tukuylla pachami chapurishka kanchik,"En este país toditos, todititos, somos mezclados.",exacto,100.0
15.mp3,Chunka ishkay capítulo,chunka ishkay capítulo,chunka ishkay capítulo,Capítulo doce,exacto,100.0
103.mp3,"Shinapash, don Eusebio, pitak chayta ruranata yachan?",shinapash don eusebio pitak chayta ruranata yachan,shinapash don eusebio pitak chayta ruranata yachan,"Pero, don Eusebio, ¿quién sabe hacer eso?",exacto,100.0
124.mp3,Ministerio de salud ukumanta willachishka ashtaka waranka vacunatami charikrinchik nishpa.,ministerio de salud ukumanta willachishka ashtaka waranka vacunatami charikrinchik nishpa,ministerio de salud ukumanta willachishka ashtaka waranka vacunatami charikrinchik nishpa,Del Ministerio de Salud me confirman que pronto tendremos un lote de miles de vacunas.,exacto,100.0
219.mp3,Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,ayllu ukukunapika machashka kusakunami violashpa chichu sakin,ayllu ukukunapika machashka kusakunami violashpa chichu sakin,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,exacto,100.0
81.mp3,"Mana allika ashtaka shuwaykuna, makaykuna, machaykuna.",mana allika ashtaka shuwaykuna makaykuna machaykuna,mana allika ashtaka shuwaykuna makaykuna machaykuna,"Y lo peor: el sálvese quien pueda, la robadera, la violencia y las borracheras.",exacto,100.0
30.mp3,Mana ashka unkurishkachu.,mana ashka unkurishkachu,mana achka unkurishkachu,No tantos.,fuzzy,95.83333333333334
44.mp3,Ñukaka mana yari.,ñukaka mana yari,ñukaka manayari,[MISSING],fuzzy,96.7741935483871
9.mp3,Pandemiamanta rimaykuna,pandemiamanta rimaykuna,pandemiamanta rimaykuna,Historias de la pandemia,exacto,100.0
121.mp3,Shuk tantanakuymi kakrin.,shuk tantanakuymi kakrin,shuk tantanakuymi kakrin,Sería un grupo.,exacto,100.0
197.mp3,Payka chuskutalla charin.,payka chuskutalla charin,payka chuskutalla charin,Sólo tiene cuatro.,exacto,100.0
184.mp3,"Ñanpi drogakunata katunkunaman, mulakunaman, puchullami quedan.",ñanpi drogakunata katunkunaman mulakunaman puchullami quedan,ñanpi drogakunata katukkunaman mulakunaman puchullami quedan,"A los que venden droga en la calle, a las mulas, les quedan migajas.",fuzzy,98.33333333333333
75.mp3,Shukkunaka yankallami kan.,shukkunaka yankallami kan,shukkunaka yankallami kan,La madre sostiene la familia.,exacto,100.0
55.mp3,Ima pachatak nirka?,ima pachatak nirka,ima pachatak nirka,¿Cuándo lo dijo?,exacto,100.0
99.mp3,"Shukkunaka botellata, tubokunata pirkapi warkushpa shinashpa col shinallatak cebollakunata wiñachinakun.",shukkunaka botellata tubokunata pirkapi warkushpa shinashpa col shinallatak cebollakunata wiñachinakun,shukkunaka botellata tubokunata pirkapi warkushpa shinashpa col shinallatak cebollakunata wiñachinakun,La otra cuelga botellas y tubos en las paredes y en cualquier lugar donde pueda crecer una col o una cebolla.,exacto,100.0
28.mp3,Mishanamanmi karka.,mishanamanmi karka,mishanamanmi karka,Habría ganado.,exacto,100.0
160.mp3,Utkalla rurana kanchik.,utkalla rurana kanchik,uchalla rurana kanchik,Algo ya.,fuzzy,90.9090909090909
130.mp3,Kay pachapi tukuykunami pakta kana kanchik.,kay pachapi tukuykunami pakta kana kanchik,kay pachapi tukuykunami pakta kana kanchik,"Porque hay una sola ciudadanía, la humana.",exacto,100.0
23.mp3,"Ari, shuk tantanakuyta.",ari shuk tantanakuyta,ari shuk tantanakuyta,"Sí, un grupo.",exacto,100.0
185.mp3,"Wilson Gualachimi kani, pushak kani.",wilson gualachimi kani pushak kani,wilson gualachimi kani pushak kani,"Soy Wilson Gualachi, soy gerente.",exacto,100.0
139.mp3,"Cocaina, marihuana, heroína, chay mapakunawan mari kawsanakun.",cocaina marihuana heroína chay mapakunawan mari kawsanakun,cocaína marihuana heroína chay mapakunawanmari kawsanakun,"Y se meten cocaína, marihuana, heroína, todas las porquerías, imagínate.",fuzzy,97.3913043478261
151.mp3,"Shinaka, shinaka, mashi Amaru, ñukaka na yachanichu imata tikrachinata.",shinaka shinaka mashi amaru ñukaka na yachanichu imata tikrachinata,shinaka shinaka mashi amaru ñukaka na yachanichu imata tikrachinata,"Pues, pues, la verdad es que no sé responderle, don Amaru.",exacto,100.0
88.mp3,Shuk yuyayta charini.,shuk yuyayta charini,shuk yuyayta charini,Tengo una idea brillante.,exacto,100.0
75.mp3,Tukuyta upallaku.,tukuyta upallaku,tukuyta upallaku,Pero todo calladito.,exacto,100.0
34.mp3,Shinapash allimanta allimanta hampirishpa rishkani.,shinapash allimanta allimanta hampirishpa rishkani,shinapash allimanta allimanta hampirishpa rishkani,"Pero, poco a poco, he ido saliendo.",exacto,100.0
184.mp3,Gobernador mana imata mañana kanchik.,gobernador mana imata mañana kanchik,gobernador mana imata mañana kanchik,Al gobernador no le digamos.,exacto,100.0
57.mp3,Shinapash.,shinapash,shinapash,Entonces.,exacto,100.0
113.mp3,Payka ashtakata yanapayta ushanmi.,payka ashtakata yanapayta ushanmi,payka ashtakata yanapayta ushanmi,Él puede ayudar.,exacto,100.0
194.mp3,Chay runataka imatapash mana crinichu.,chay runataka imatapash mana crinichu,chay runataka imatapash mana krinichu,A ese man no le creo ni lo que reza.,fuzzy,97.2972972972973
97.mp3,Ashtaka pura kashpallami alli yuyaykunata llukchirin.,ashtaka pura kashpallami alli yuyaykunata llukchirin,ashtakapura kashpallami alli yuyaykunata llukchirin,Es que varias cabezas piensan mejor que una.,fuzzy,99.02912621359224
97.mp3,"Rikunki, shuk municipiokunamanta uyachik antakunapash tapuriyanakunmi.",rikunki shuk municipiokunamanta uyachik antakunapash tapuriyanakunmi,rikunki shuk municipiokunamanta uyachik antakunapash tapuriyanakunmi,Mire que hay otras emisoras en el municipio muy interesadas en el negocio.,exacto,100.0
6.mp3,Jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,jaboneropak ayllullaktapi,En el Barrio del Jabonero,exacto,100.0
15.mp3,"Niwaylla, hampik.",niwaylla hampik,niwaylla hampik,"Dime, médico.",exacto,100.0
112.mp3,Ciertopacha ninki.,ciertopacha ninki,ciertopacha ninki,Dices cierto.,exacto,100.0
164.mp3,"Shinami rimana, mashi Gumer.",shinami rimana mashi gumer,shinami rimana mashi gumer,"Así se habla, doña Gumer.",exacto,100.0
153.mp3,"Ah, chayka imapatak kanka, hampik?",ah chayka imapatak kanka hampik,ah chayka imapatak kanka hampik,"Y eso, ¿por qué, doctor?",exacto,100.0
129.mp3,"Mama, kikinpa cooperativaka ña ashtaka huertos familiares, comunales, uchilla, hatunta charin.",mama kikinpa cooperativaka ña ashtaka huertos familiares comunales uchilla hatunta charin,mama kikinpa cooperativaka ña ashtaka huertos familiares comunales uchilla hatunta charin,"Señora, su cooperativa ya tiene muchos huertos familiares, comunales, pequeños y grandes.",exacto,100.0
30.mp3,"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",kunan llakikunata charinchik ari chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik,kunan llakikunata charinchik ari chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik,Si la “normalidad” que teníamos antes es el problema de ahora.,exacto,100.0
7.mp3,Paymi kipaman niwarka.,paymi kipaman niwarka,paymi kipaman niwarka,Ella me confesó después.,exacto,100.0
41.mp3,Achikmamami kanka ninkapak munanki nachu.,achikmamami kanka ninkapak munanki nachu,achikmamami kanka ninkapak munanki nachu,"En todo caso, será que “amadrino”.",exacto,100.0
21.mp3,Ayllullaktapi rikukrinchik.,ayllullaktapi rikukrinchik,ayllullaktapi rikukrinchik,Vamos a decidir con la comunidad.,exacto,100.0
40.mp3,Matildakuka mashna semanatak charin?,matildakuka mashna semanatak charin,matildakuka mashna semanatak charin,¿Cuántas semanas tiene Matildita?,exacto,100.0
50.mp3,Consejo municipalmantakunaka nimatapash na yuyarinchu.,consejo municipalmantakunaka nimatapash na yuyarinchu,concejo municipalmantakunaka nimatapash na yuyarinchu,A los del Concejo Municipal no se les ocurre nada.,fuzzy,98.11320754716981
149.mp3,Kikinka allimi alcaldia ukupi llamkakushkanki,kikinka allimi alcaldia ukupi llamkakushkanki,kikinka allimi alcaldia ukupi llamkakushkanki,Usted ha hecho un buen trabajo en la Alcaldía.,exacto,100.0
119.mp3,Shuk kuchikuta rifapi churakripanchik.,shuk kuchikuta rifapi churakripanchik,shuk kuchikuta rifapi churakripanchik,Y una rifa por un chancho asado.,exacto,100.0
174.mp3,"Kikin llakichishka ninki, ñuka nima waktashkata mana rikunichu.",kikin llakichishka ninki ñuka nima waktashkata mana rikunichu,kikin llakichishka ninki ñuka nima waktashkata mana rikunichu,"Usted dice violencia, pero yo no veo que usted esté golpeada ni masacrada.",exacto,100.0
44.mp3,"Wasiman tikramuy, imashinaku kashpa.",wasiman tikramuy imashinaku kashpa,wasiman tikramuy imashinaku kashpa,"Vuelve a casa, te lo ruego.",exacto,100.0
148.mp3,Ama niwaychu?,ama niwaychu,ama niwaychu,¿No me digan?,exacto,100.0
157.mp3,"Rikupay imshina nukanchik mamallakta kakta, yapata llakiyachishka.",rikupay imshina nukanchik mamallakta kakta yapata llakiyachishka,rikupay imashina ñukanchik mamallakta kakta yapata llakiyachishka,"Vea cómo está nuestro país, hecho pedazos.",fuzzy,97.67441860465115
217.mp3,"Amaru Sánchez, yachanimi.",amaru sánchez yachanimi,amaru sánchez yachanimi,"Amaru Sánchez, lo sé.",exacto,100.0
3.mp3,"Allpakunata chaspirishpa llamkanakun, paykunapa tarpushkakunata tukuyman karanata yuyaywan.",allpakunata chaspirishpa llamkanakun paykunapa tarpushkakunata tukuyman karanata yuyaywan,allpakunata chaspirishpa llamkanakun paykunapa tarpushkakunata tukuyman karanata yuyaywan,De tanto defender sus viveros del agua.,exacto,100.0
189.mp3,Shinaka chayta rurashunchik.,shinaka chayta rurashunchik,shinaka chayta rurashunchik,Eso vamos a hacer.,exacto,100.0
120.mp3,Runakunata ñawpakman apakshinami rikurini.,runakunata ñawpakman apakshinami rikurini,runakunata ñawpaman apakshinami rikurini,Me considero un dirigente indígena.,fuzzy,98.76543209876543
155.mp3,"Marta, Marta, rikchariy!",marta marta rikchariy,marta marta rikchariy,"¡Marta, Marta, despierta!",exacto,100.0
31.mp3,Rikushun.,rikushun,rikushun,Vamos a ver.,exacto,100.0
145.mp3,Yachakuk wawakunaka kushillami kan kay yachaykunawanka.,yachakuk wawakunaka kushillami kan kay yachaykunawanka,yachakuk wawakunaka kushillami kan kay yachaykunawanka,Las chicas y los chicos felices con estas clases..,exacto,100.0
30.mp3,"Antawakunapa llantakuna tukyakpika payka allichishpa katin nin, shinacha imacha, shinapash kashna nin.",antawakunapa llantakuna tukyakpika payka allichishpa katin nin shinacha imacha shinapash kashna nin,antawakunapa llantakuna tukyakpika payka allichishpa katin nin shinacha imacha shinapash kashna nin,Y así a los choferes se les pinchan las llantas y él se las repara.,exacto,100.0
90.mp3,"Shuk tantanakuyta, shinapash mana rimankapaklla tantanakuyta imatapash rurankapak shuk partidota charina kanchik.",shuk tantanakuyta shinapash mana rimankapaklla tantanakuyta imatapash rurankapak shuk partidota charina kanchik,shuk tantanakuyta shinapash mana rimankapaklla tantanakuyta imatapash rurankapak shuk partidota charina kanchik,"Un grupo, pero no de reflexión sino de acción, de acción política, un partido.",exacto,100.0
176.mp3,"Imapash pintuta, shuk camisetata, toallata, punkukunapi, wasimanta chapanakunapi churashunchik.",imapash pintuta shuk camisetata toallata punkukunapi wasimanta chapanakunapi churashunchik,imapash pintuta shuk camisetata toallata punkukunapi wasimanta chapanakunapi churashunchik,"Cualquier trapo, una camiseta, una toalla, en las puertas, en el balcón.",exacto,100.0
155.mp3,Transgénicos unkuchik muyukuna.,transgénicos unkuchik muyukuna,transgénicos unkuchik muyukuna,Semillas transgénicas que enferman.,exacto,100.0
81.mp3,Mana entendenichu.,mana entendenichu,mana entendenichu,No le entiendo.,exacto,100.0
22.mp3,"Imanalla mashi, alli shamushka.",imanalla mashi alli shamushka,imanalla mashi alli shamushka,"Hola amigo, bienvenido.",exacto,100.0
129.mp3,Kay hawamanta imatashi ninkiman?,kay hawamanta imatashi ninkiman,kay hawamanta imatashi ninkiman,¿Qué diría sobre esto?,exacto,100.0
7.mp3,Warmi mamakuna wipalakunata churashpa mikunakunawan yanapariyka allimi karka.,warmi mamakuna wipalakunata churashpa mikunakunawan yanapariyka allimi karka,warmi mamakuna wipalakunata churashpa mikunakunawan yanapariyka allimi karka,El sistema de banderas y de ollas populares que inventaron las mujeres de la organización funcionan muy bien.,exacto,100.0
69.mp3,Ima shinatak ayllu nishunyari warmipura karipura tantanakushkakunataka?,ima shinatak ayllu nishunyari warmipura karipura tantanakushkakunataka,imashinatak ayllu nishunyari warmipura karipura tantanakushkakunataka,¿Cómo va a llamarse familia un par de hombres o un par de mujeres?,fuzzy,99.28057553956835
130.mp3,"Chayka nachu waklliy, yachachik?",chayka nachu waklliy yachachik,chayka nachu waklli yachachik,"¿Eso no es malo, maestra?",fuzzy,98.30508474576271
6.mp3,"Shinami, kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun, yanapayta mañankapak.",shinami kashna pacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun yanapayta mañankapak,shinami kashnapacha tamyapi kuchakunata pawashpa pawashpa alcaldíaman rinakun yanapayta mañankapak,"Y ahí van, saltando charcos, entrando en la alcaldía para solicitar ayuda en medio de tanta inundación.",fuzzy,99.49238578680203
138.mp3,"Seis seis seis nishka, millay ayapak señal.",seis seis seis nishka millay ayapak señal,seis seis seis nishka millay ayapak señal,"El seis seis seis, la marca de la Bestia.",exacto,100.0
74.mp3,Imalla allpapi tiyashkataka llukchichun.,imalla allpapi tiyashkataka llukchichun,imalla allpapi tiyashkataka llukchichun,[MISSING],exacto,100.0
140.mp3,"Sakiway, sakiway.",sakiway sakiway,sakiway sakiway,"Déjame, déjame.",exacto,100.0
93.mp3,"Kay yuyaykunawan kawsanami kanchik, kay shimikunata ninallami kanchik, wawakuna.",kay yuyaykunawan kawsanami kanchik kay shimikunata ninallami kanchik wawakuna,kay yuyaykunawan kawsanami kanchik kay shimikunata ninallami kanchik wawakuna,[MISSING],exacto,100.0
136.mp3,Imanalla.,imanalla,imanalla,Hola.,exacto,100.0
175.mp3,Makita cruzashpachu sakirisha?,makita cruzashpachu sakirisha,makita cruzashpachu sakirisha,¿Me cruzo de brazos?,exacto,100.0
145.mp3,Yachankichu krik wamprakuna.,yachankichu krik wamprakuna,yachankichu krik wamprakuna,"¿Sabe qué, señorito?",exacto,100.0
131.mp3,"Rikunki, kaynami shuk tantanakuypi karkani.",rikunki kaynami shuk tantanakuypi karkani,rikunki kaynami shuk tantanakuypi karkani,"Verá, yo estuve en la reunión del otro día.",exacto,100.0
191.mp3,Ima ninkita yari?,ima ninkita yari,ima ninkitakyari,¿Qué dice usted?,fuzzy,93.75
30.mp3,"Ingléstapash yachachichun, alcalde.",ingléstapash yachachichun alcalde,ingléstapash yachachichun alcalde,"Y que nos enseñen inglés, alcalde.",exacto,100.0
134.mp3,Asha pachakunapilla uyachik antaka mascarillakunatapash yalli mutsurishkami karka.,asha pachakunapilla uyachik antaka mascarillakunatapash yalli mutsurishkami karka,asha pachakunapilla uyachik antaka mascarillakunatapash yalli mutsurishkami karka,En poco tiempo la radio se ha vuelto más necesaria que las mascarillas.,exacto,100.0
6.mp3,Imatapash ña rurana kanchik.,imatapash ña rurana kanchik,imatapash ña rurana kanchik,Tenemos que hacer algo.,exacto,100.0
68.mp3,"Ari, yachanimi.",ari yachanimi,ari yachanimi,"Sí, yo sé.",exacto,100.0
183.mp3,Mana pipash ushita wiksayuk sakishkataka nirkachu.,mana pipash ushita wiksayuk sakishkataka nirkachu,mana pipash ushita wiksayuk sakishkataka nirkachu,Nadie dijo que la embarazó.,exacto,100.0
97.mp3,Shinapash kipamanrak kanka.,shinapash kipamanrak kanka,shinapash kipamanrak kanka,Pero para después.,exacto,100.0
155.mp3,Kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna.,kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna,kunan puncha banda criminalkunaka ashtawan sinchiyashka shinallatak tukuy mamallaktakunataka paykunapa makipi charinkuna,Las bandas criminales son hoy más fuertes que nunca y controlan países enteros.,exacto,100.0
91.mp3,"Yanapawaychik, ñuka tayta wañukunmi!",yanapawaychik ñuka tayta wañukunmi,yanapawaychik ñuka tayta wañukunmi,"¡Por Dios, ayúdenme, es mi papá que se está muriendo!",exacto,100.0
74.mp3,Chay raku Apolonio?,chay raku apolonio,chay raku apolonio,¿El gordo Apolonio?,exacto,100.0
1.mp3,"Jaboneropa ayllullaktapika, maykanpash mana urmashpaka lluchanmi.",jaboneropa ayllullaktapika maykanpash mana urmashpaka lluchanmi,jaboneropa ayllullaktapika maykanpash mana urmashpaka lluchanmi,"El Barrio del Jabonero, porque aquí el que no cae resbala.",exacto,100.0
142.mp3,"Amaru, ñukaka kallarinami kanchik nini.",amaru ñukaka kallarinami kanchik nini,amaru ñukaka kallarinami kanchik nini,"Amaru, yo digo que este es el primer paso.",exacto,100.0
18.mp3,Ñukanchik mikunata tarpunata ama mercadopilla warkurayankapak.,ñukanchik mikunata tarpunata ama mercadopilla warkurayankapak,ñukanchik mikunata tarpunata ama mercadopilla warkurayankapak,A sembrar nuestra comida y no tener que estar colgados de la teta de los que venden en el mercado.,exacto,100.0
64.mp3,Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin,kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,exacto,100.0
15.mp3,Paykuna ñukanchikta shina nishpa rikun.,paykuna ñukanchikta shina nishpa rikun,paykuna ñukanchikta shina nishpa rikun,Nos dicen así.,exacto,100.0
109.mp3,"Ari, yupaychani.",ari yupaychani,ari yupaychani,"Sí, gracias.",exacto,100.0
106.mp3,Makipi chakipi churana rantika.,makipi chakipi churana rantika,makipi chakipi churana rantika,Pues en vez echarlo en las manos o en los zapatos.,exacto,100.0
