input_kichwa,referencia_es,prediccion_es
"Mashikuna, ñukanchik tantanakuyka wiñashkami.","Bueno, compañeros, compañeras, nuestro partido ha crecido.",¿Y qué dicen?
"Kikin nishkanki, yankalla uyachik antami.","Usted lo ha dicho, una radio pirata.",¿Y qué es eso?
"Mashikuna kayman shamushpa napaykunata, ima willachiykunata chayachikpi allimi kan.","Que la gente venga aquí a saludar, a denunciar, está mejor.",Las mujeres y los niños de la escuela.
"Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.","Kunas, Nahuas, Mayas, Shipibos, Boras.",¿Y qué dicen?
Tukuykuna internetta charichunmi kaparishun.,Exigiremos un acceso universal a internet.,¿Y qué dicen?
Imashpatak na shuk tiendata churanchik?,¿Por qué no ponemos una tiendita?,¿Y qué dicen?
"Ari, shinami, Fredy.","Sí, exactamente, Fredy.","Eso, Fredy."
Imatak shinashun.,¿Qué hacemos?,¿Y qué dices?
Pandemiamanta rimaykuna,Historias de la pandemia,¿Y qué hacer?
Shinapash kaypi kawsakkunapa mutsurinakunatapash rurashunmi.,Se ecompromete con varias obras sociales.,¿Y qué dicen?
"Kanta, ñukanchik Matildita ushikutapash.","A ti y a Matildita, nuestra hijita.",¿Y qué dicen?
Chay Guapo nishka na hapichishka kakpika wichashun nishpa maskanakun.,Ese Guapo cuando no está preso lo andan buscando.,¿Y qué es eso?
"Ari ari, chay.","Sí sí, eso.",¿Y qué dices?
Shina rimakun mana sakishachu.,Y eso no lo voy a permitir.,¿Y qué es eso?
"Yachana wasiman tikrankapak, shinaka chayka kikinkunapak hawa.","Volver a clases, pero eso sí, bajo la responsabilidad de ustedes.",¿Y qué dicen?
"Alli mikuytaka charinchikmi ñukanchik yuyukunata, murukunata huntachishpa mikuna kanchik.",Cuantos más colores hay en el plato mejor estamos comiendo.,¿Y qué dicen?
Kikinka imatatak ningui kay hawa?,¿Qué propone usted sobre esto?,¿Y qué dicen?
Ninan nanayta charirka apéndice nishkawan.,Era una apendicitis aguda.,¿Y qué dices?
Ñukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.,Por una ventaja de nueve puntos había ganado nuestro candidato Amaru Sánchez.,Los candidatos a la candidatura de Amaru Sánchez.
"Nishkata paktachishpa, Amaru Sánchezman uchalla willaykunata kunkapak paypa ayllullaktaman rirkani.","Dicho y hecho, me fui a calentarle las orejas al dirigente Amaru Sánchez en su comunidad río arriba.",¿Y qué dice Amaru Sánchez?
"Ari, ari, makita satishpa, ashnan, petróleo hicharishka.","Sí, sí, metan sus manos, apesta, petróleo derramado.",¿Y qué es el petróleo?
Kaytaka kay organización mundial de la salud ukumantami shina nirka.,Ya lo declaró la Organización Mundial de la Salud.,Las organizaciones mundiales de salud y salud pública.
"Pusak pacha tutapimi, municipiota pushak maykan misharishkataka yachashun.","A las 8 de la noche, ya están los resultados de las elecciones municipales.",Las municipios de la comunidad y de las municipalidades.
Kunanka chay hampikunataka imapash mishkitashna shina karan karankichikchi.,"Lo único que falta ahora es que se pongan a repartir anticonceptivos, como quien regala caramelos.",¿Y qué dicen?
"Tuparishun, mashikuna, tuparishun.","¡Hasta la vista, señores!",¿Y qué dicen?
"Ñukataka pipash mana kayashkachu, shinapash uchalla chayakrini.","A mí nadie me invitó, pero voy a tratar de llegar a tiempo.",¿Y qué dicen?
Ashtawan uyakkunata charin.,Cada vez tienen más audiencia.,¿Y qué es eso?
Chunka chusku capítulo,Capítulo catorce,¿Y qué?
"Shinami yarin, sukta semanakuna shina kanka.","Algo así, Unas seis semanas.",¿Y qué dicen?
"Chayta, chayta rikuy.",Miren a aquel.,¿Y qué dices?
Tukuyllatakpacha.,Todas.,¿Y qué dices?
"Ay, tayta Dios, ay, tayta Dios.","Ay, santo Dios, ay, santo Dios.",¿Y qué dice Dios?
"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",Si la “normalidad” que teníamos antes es el problema de ahora.,Los niños y niñas de la normalidad.
"Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.","Mientras los de la radio estaban grabando en la desembocadura del río, el gerente de la empresa minera llegó a la Alcaldía.","Las mineras de la minera, alcaldesa y gerente."
Kikinpaka pushak kashkamanta ashtawan imakunata ? rikushunmi.,"Naturalmente, para usted, como director, tendríamos una consideración especial.",¿Y qué dicen?
Ñukaka kushillami kani.,Yo estoy contento.,¿Y qué es eso?
Alli pacha.,Qué bueno.,En el Barrio de la Alcaldía
"Wakllishka, ninkapak munanki.","Malogradas, querrá decir.",¿Y qué dices?
"Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.","Conozco el dicho, pero no sé a qué se refiere, Amaru Sánchez.",¿Y qué dice Amaru Sánchez?
Pichulami kan.,Pichula.,¿Y qué dices?
"Imashinatak ñawpaman apakrinki alcaldíataka, consejo municipalwanpash imashinatak kakrin?",¿Cuál será su estilo de gobierno en la Alcaldía y con el Concejo Municipal?,"¿Y alcaldía, consejo municipal?"
Ñuka Matildita ushikuka yachaytapash na yachanchu paypa wiksapi ima pasakukta.,Y mi hija Matildita ni sabe lo que está pasando en su cuerpo.,¿Y qué dicen ustedes?
Nimata mana killkashkanchikchu cobardekunamantaka.,De los cobardes no se ha escrito nada.,¿Y qué dices?
"Chaykunaka curakuna, pastorkuna nin.",Eso dicen los curas y los pastores.,"Los pastores, pastors y pastoras."
"Mana mana, wawa, mana pichula kanchu.","No no, niños, ninguna pichula.",¿Y qué dices?
Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.,¿Y por qué con esas telas no cose unas cuantas mascarillas?,Las mascarillas de mascarilla están abiertos.
Imashinatak kawsakunki?,¿cómo va esa vida?,¿Y qué dicen?
Ñukanchikta llakichishpa sakishka.,Se burlaron de nosotros.,Los niños y niñas de la escuela.
"Shuk muyu shina, kiru tukunkapakka ashtaka pachakuna yallinarakmi.",Como una semilla que le falta mucho para ser un árbol.,¿Y qué dicen?
Unkushkachu kanki?,¿Estás enferma?,¿Y qué dices?
Yarkaymantaka imatapash shinarinllami.,El hambre justifica los medios.,¿Y qué dices?
"Eusebio, niway.","Eusebio, dime.",¿Y qué es eso?
Apolonio Jaboneropa ayllullaktapi purikun.,Apolonio en el Barrio del Jabonero.,Apolonio.
"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.","Sí sí, me han dicho que ahora está metido en drogas.",¿Y qué dicen?
Chashnapish prueba covidta katuk warmitaka ñami hapirkakuna.,"Bueno, al menos a la que vendía las pruebas de covid en la bodega, ya la agarraron.",Las pruebas de covid-19 se han dado a la pandemia.
"Servinkapak kaypimi kani, pushak juez.","Para servirle, señor Juez.",¿Y qué dices?
"Aha, imatak kaypi maskanki, Fredy.","Ajá, ¿y qué te trae por aquí?",¿Y qué dice Fredy?
Allita nishpaka ñukanchik tukuchikrinakunchik.,Di mejor: lo vamos a acabar.,Las mujeres y los niños de la escuela.
"Ari, chaymantami imatapash rurana kanchik, Magdalena.","Sí, por eso tenemos que hacer algo, Magdalena.","Pero, Magdalena, no puedo hacer nada."
Pakallachu llukshirka?,¿O se escapó?,¿Y qué dicen?
"Apolonio Gutiérrez, kanka shuk hatun huchachiytami charinki.","Apolonio Gutiérrez, hay una acusación muy grave en su contra.",¿Y qué es eso?
"Shinapash tukuymi wicharishka, ni shuk emisora mana yaykunchu.","Y la respuesta fue que “el espectro está saturado”, que no cabe ni una emisora más.",Las emisoras de la emisora de radio y televisión se han dado a conocer.
Na shina shinalla ashtawanmi mirakun.,Son más frecuentes de lo que pareciera.,¿Y qué dices?
Na yuyarikpika yachachisha.,"Si no se acuerdan, los enseñaré.",¿Y qué dices?
Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,¿Y qué dices?
Uyachik antata uyankichik.,Escuchen su radio.,¿Y qué es eso?
"Despenalizashka tukuy droga, marihuana, cocaina, shinallatak heroínata chupakkunata.","Han despenalizado el consumo de todas las drogas, desde la marihuana hasta la cocaína y la heroína.","En el barrio de la marihuana, cocaína, drogas."
"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.",¿Y qué dices?
"Ari ari, shinapash, imasha imasha?","Sí, pero ¿cómo?",¿Y qué dices?
"Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak wañushkakunata, waranka contagiarishkakunamanta.","Esas emisoras y los canales de televisión solo pasan accidentes, que si ya murieron cien con el virus, que se contagiaron mil.",Los contagios son contagiados por contagio.
"Kari wawakunatapash, ari, wakinpika kashna llakikunaka mana tiyanchu yuyanchik ñukanchik ayllullaktakunapi.","De niños también, sí, una pensaría que son casos excepcionales.",¿Y qué hacen ustedes?
"Chikan chikan tarpushun, tantanakushupa katushun.",Sembramos separadas pero vendemos juntas.,¿Y qué dicen?
"Shinami, shinapash mana tukuykuna kay caretawan runakunataka charinchu mashi.","Sí, pero no todo el mundo tiene gorras con careta.",¿Y qué dicen?
Ama kutinpash shulluchik hampikunawanka satirichu.,No se meta otra vez en líos con el médico que hace abortos,¿Y qué dicen?
"Mana mana, Lula.","No no, Lula.",La Lula está ahí.
Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.,Lo primero que vamos a hacer es denunciar que en esta comunidad no llega el internet.,Los niños y niñas de la internet pueden tener internet.
"Kunanka visitakuna, solicitudkuna, presupuestokuna, proyectokuna kallarimun.","Y ahora comienzan las visitas, las solicitudes, los presupuestos, los proyectos.","Los proyectos, los presupuestos y las solicitudes."
Nachu pinkanayan?,¿No te da vergüenza?,¿Y qué dicen?
"Mana, killa kullkipish na tiyanchu, nima centavo.","Tampoco hay salario, ni un centavo.",¿Y qué dices?
"Kishpichiway, Eusebio.","Lo siento, Eusebio.",¿Y qué es eso?
Yanapariy Pachakamak yanapachun.,Ayúdate que Dios te ayudará.,¿Y qué dicen?
"Na kankachu, chayka na kankaka.",No será así.,¿Y qué dicen?
"Ari, mashi Eusebio.","Sí, don Eusebio.","Eso, Eusebio."
Tukuyta willana.,Que le cuenten todo.,¿Y qué es eso?
"Yankata willaykuna uyarin, na alli rimaykunawanpash uyarin, ari, chisme nishkakuna.","Corren los rumores, mejor dicho, los chismes.",¿Y qué dicen?
Imatapash tarina kanchik.,Hay que encontrar algo.,¿Y qué es eso?
Ciudadanokuna.,"Ciudadanas, ciudadanos.",¿Y qué hacemos?
Ñukapash kushikuni.,El gusto es mío.,¿Y qué dices?
Amaruka Alcaldíapi tiyakun.,Ahí está Amaru sentado en la Alcaldía.,Las Alcaldías del Amaru.
"Chusku pachakunata, lunesmanta vierneskaman paga illak llamkakrinki.",Cuatro horas diarias lunes-viernes sin goce de haber.,Los lunes y los sábados pueden llegar a trabajar.
Ñukanchik yaya mamakunapak pachapi shina.,Como en los tiempos de nuestras abuelas.,¿Y qué dices?
"Allikuta rimashpaka, kaypika política nishkaka katuna pampa shinami kan.","Les soy sincero, aquí la política parece una feria.",Las políticas de la sociedad y la política.
Estadoka laico nishkami kan.,El estado es laico.,¿Y qué dicen?
Chayka mishanka mishankami.,Ése gana porque gana.,¿Y qué dices?
Chashnallatak hawapi antenata churakrinchik.,Tiene una buena azotea para la antena.,Las antenas están ahí.
Wañuchikkuna ama tiyachun.,Que no hayan asesinos.,¿Y qué dicen?
Ruku políticokunaka normalidadman tikranata rimanakun.,Los políticos viejos hablan de volver a la normalidad.,¿Y qué dicen los políticos?
Ama chinkaychikchu.,No se lo pierdan.,¿Y qué es eso?
Na yapata investigana ministirinchu.,No hay que investigar mucho.,¿Y qué dicen?
Chunka capítulo,Capítulo diez,¿Y qué?
Ñuka churi Fredywan kushillami kani.,"Yo estoy orgulloso de Fredy, mi hijo.",¿Y Fredy?
Doña Gumersinda.,Doña Gumersinda.,¿Y qué es eso?
"Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.","Alcaldesa Magdalena Ayala, un gusto conocerla y saludarla.",Las alcaldesas de la Alcaldesa Magdalena Ayala.
"Ari, shinapacha.","Sí, eso.",¿Y qué dices?
"Apolonio, kikinpa tantanakuyka maykantak kan?","¿Y cuál es su partido, señor Apolonio?",Apolonio y apolonia.
Ninan ninan kushikushka karkanchik.,Estamos recontra felices.,Las niñas y los niños.
Martaku.,Martita.,Las Martas de Marta.
Jaboneropak ayllullaktapi,En el Barrio del Jabonero,¿Y qué es eso?
"Shinaka, coronaviruska mana treguata kunchu.","Bueno, pues, la mala es que el coronavirus no da tregua.",Los coronaviruses son contagiados por coronavirus.
"Mana, mana.","No, no.",Eso es lo que dicen.
Makipi chakipi churana rantika.,Pues en vez echarlo en las manos o en los zapatos.,¿Y qué dicen?
"Kanpa wawa chichuyashkata yachakchayashpaka, ishkantitami wichashpa sakinka, Marta.","Si interrumpimos el embarazo de tu hijita y se enteran, vamos presos tú y yo también.",¿Y qué dice Marta?
"Alcaldesa, nachu kikinllatak kutin sakirinkapak kapanki?","Usted, Alcaldesa, se va a reelegir, me imagino.",Alcaldesa y alcaldesa.
"Kankunaka gobiernomanta, pushakmanta kankichik.",Y que ustedes son señores del gobierno.,Las comunidades y gobiernos pueden ayudar a la gente.
"Shuk rueda de prensatami rurakrinchik, chaypi tapuykunata kutichinkapak.",Vamos a hacer una rueda de prensa y respondo todas las preguntas.,¿Y qué dicen?
Shuk monjami celularpi rimakurka.,Hay una monja que habla en el celular.,¿Y qué es eso?
Shuk shukta willachishpa purikrichunchu munanki?,¿Quieres que vaya una por una avisando?,¿Y qué dices?
Lunes punchata kallarishpa viernes punchakaman chusku orasta llamkakun.,Lunes a viernes cuatro horas pagando su pena.,¿Y qué dicen?
"Mana atallpa shina kapariychu, manarak lulunta wachashpaka.",No hay que cacarear los huevos antes de ponerlos.,¿Y qué dicen?
Chaypipash tuksinakunamanta ninan mutsurishkakunamanta rimankapak.,Y explicar la importancia de las vacunas.,¿Y qué dicen?
"Rikuychik, reguetónta takik chica fuego kuytsapashmi candidata tukushka.",Y hasta la reguetonera Chica Fire se lanzó como candidata.,¿Y qué dicen?
"Mana, mama, mana.","No, no, no.",Eso es lo que dicen.
"Mama, ñukaka puñukurkanimi.","Mamá, yo estaba durmiendo.",¿Y qué dices?
"Mana shinachu, mashi.","No es así, señora.",¿Y qué dicen?
"Wawa, kunanka ima punchatak kan?","¿Qué día es hoy, hijo?",¿Y qué dicen?
Ama kayta rurawaychikchu.,No me hagan esto.,¿Y qué dices?
Shinachari kan?,"¿Así es la cosa, mariposa?",¿Y qué dicen?
"Macondopi nishka shina tamyaka mana shayarirkachu nin, shinallatak kaypi tamyarka.",Como el de Macondo donde dicen que no paraba de llover.,¿Y qué hacen los niños?
Wakin llantakunata charinkapak pachamamapa alli yanapawashkami.,Hoy me ha ayudado Dios a tener algunas llantas para parchar.,Las llantas son de la misma clase.
"Ari, ari, ña uyarkanimi Manolo kaypi llamkankapak munakta.","Sí, sí, ya escuché que Manolo quiere trabajar con nosotros.",¿Y qué dicen?
Ñuka urpiku.,Conejita mía.,¿Y qué dices?
Kikinka nachu chay síndrome de Down nishkawan churita charinki?,¿Usted no es el que tiene un hijo down?,¿Y qué dicen?
Chay tantamantallatak muspaña,Carecos de la misma argolla,¿Y qué dices?
Wiksa urapi kuchushkata rikupaylla.,Puede comprobar la cicatriz en su bajo vientre.,¿Y qué es eso?
"Kanpa churika sinchillamkak wamprami kan, Eusebio.","Muy trabajador tu hijo, Eusebio.",¿Y qué dicen?
Policía ñami shamukun.,La policía ya viene de camino.,Las policías dicen que la policía está ahí.
"Ari, chaymantallatak, kay tantanakuypika yachak tukushkakunata mana munanchikchu.","Por eso mismo, en este grupo no queremos caudillos sabelotodo.",¿Y qué dicen?
Josefina kumariman willakrini.,Le voy a contar a mi comadre Josefina.,¿Y qué es eso?
Ñami ñami bonokunata kunakunchik pandemiamanta wichashka uchilla comersiantekunaman.,Ya estamos dando bonos a los pequeños comercios que han cerrado por la pandemia.,¿Y qué dicen?
"Allika yanapariykuna, mushuk proyectokunata llukchinkapak yuyaykuna, tantanakushpa llamkaykuna.","Lo mejor: la solidaridad, la imaginación para emprender proyectos nuevos, negocios cooperativos.","Los proyectos de la comunidad y de los vecinos, nuestra empresa es una buena fuente de trabajo."
Waktashkakunata rikuchiway.,Enseñe los golpes.,¿Y qué es eso?
"Yuyariychik, ima shinatak waminsi wasipika yallishkata.",Acuérdense de lo que pasó en la casa rosada.,¿Y qué dices?
"Allita nishpaka, ñukanchik tukuchikrinakunchik.",Di mejor: lo vamos a acabar.,Los niños y niñas de la escuela.
Paywanmi kay alcaldíataka mishakrinchik ninmi.,"Con él ganamos la Alcaldía, así dicen.",Las alcaldesa del municipio de la Alcaldía.
"Ari, chaytami rurakrini.","Sí, eso voy a hacer.",¿Y qué dices?
Ñukaka ima mapa llamkaykunapi kankita yachanimi.,Yo sé en la porquería en que andas metido.,¿Y qué hacen los vecinos?
Kikinkunaka Pablopa nikushkakunata katipaychik.,Usted siga a San Pablo.,¿Y qué es eso?
"Pandemiatapash yalli, tayta Dios ninanta tamyata kachamushkatapash yallimi.","Una emergencia más peligrosa que la pandemia, peor que la inundación que Dios nos envió en estos días.",Las pandemias se han dado a la pandemia.
Nima kullkitapish na hapinakunchik.,Sin cobrar nada.,¿Y qué dicen?
"Chay shukpa rinki, chay shukpa.",En otra te toca.,¿Y qué dices?
"Chawpi kikinpa, chawpi ñukanchikpa.","Mitad para usted, mitad para nosotros.",¿Y qué dicen?
"Alcaldesa Magdalena Ayalapash imashamanta paykunawan kashkataka mana yuyaypi hapirkachu, ñapash mana alli rimaykuna kallarirka.","No pueden creer que la alcaldesa Magdalena Ayala se haya sumado a este grupo de cabezas calientes, como ellos nos tildan.",Las alcaldesas de Magdalena y Alcaldesa de la ciudad.
"Ña yachanchikmi, maypipash tiyanmi mana ñukanchikta crikkuna.","Como sabe, siempre hay algunos desconfiados.",¿Y qué dicen?
Ñukanchikpa kullkitachu mana munankichik?,¿No quieren nuestro dinero?,¿Y qué dicen?
Shuk kalluka rurashallami ninkapak.,Una para prometer.,¿Y qué dicen?
"Eh, mejor tukuy Matria Libre partidomantakunami chayamurkakuna.","Bueno, todo el grupo del partido Matria Libre.",Eso es un partido de Matria Libre.
"Kay pandemia pachakunapi, mikunakunata charina, tarpuna ninan mutsurishkami.","En estos tiempos de pandemia, la seguridad alimentaria es fundamental.",Las pandemias se han dado a nuestra pandemia.
"Hacienda allpakunata charikkunaman yuyachini, manarak españolkuna shamukpika kay allpakunapika tawka runakunami kawsarkanchik, mana chushakllachu karka.","A esos nariz alzada les vamos a recordar que cuando los españoles llegaron, estas tierras no estaban vacías, tenían gente, tenían dueño.",¿Y qué dicen?
