input_kichwa,referencia_es,prediccion_es
Hawa pachamanta ushashka punchayamurka.,Comenzaron a caer rayos y centellas.,Hawa pachamanta ushashka punchayamurka.
"Chaykunatami uyachik antapa willachina kanchik, tukuy yachachun.",Esas cosas tenemos que decir en la radio para que se sepan.,"Chaykunatami uyachik antapa willachina kanchik, support yachachun."
Nachu shina yari.,¿No es verdad?,Nachu shina yari
Ashtaka ayllukunami kikinkunata katinakun.,Muchas familias están siguiendo ese buen ejemplo.,Ayllukunami kikinkunata katinakun.
"Wayra purichun, ventanakunata paskashka kachun.",Con ventanas abiertas para que el aire circule.,"Wayra purichun, ventanakunata paskashka kachun."
"Kiwa yakuta upiyashpa, ñallami alli tukunka.","Pero tomando sus hierbitas, ya va a mejorar.","Then he shook his head, and walked away."
Shinaka tomate wiñankakaman imatapash rurana kanchik.,"Pero en lo que crecen los tomates, tenemos que hacer algo.",Shinaka tomate wiankakaman imatapash rurana kanchik.
"Uyay, uyay, kikinta, ari, kikinta nini, mashi.","Ey, usted, amigo.","Uyay, yo, mashi."
"Chaypichu kanki, Miguelina?",¿Estás ahí?,chaypichu
Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,"As a result, he warned that the party would be reprimanded if it did not win the election."
"Achkatatak mancharirinika, paniku.","Se me eriza la piel, hermana.","I'm sorry, sir."
"Shinapash, mama.","Pero, señora.","Shinapash, mama."
Chay kawsayta kuyanchik nikkunaka kashnami nishkakuna.,Esos provida que tú dices se inventaron como así.,Chay kawsayta kuyanchik nikkunaka kashnami nishkaku.
"Ay, ima nini yari.",Quiero decir.,I'm sorry.
Shinapash yarkayka mana rishkachu.,Pero el hambre no ha desaparecido.,Mana rishkachu.
"Panika mancharishkami, razónta charinmi.",La hermana está alterada y no le falta razón.,"Mr. Mancharishkami, thank you very much."
"Shinallatak, yachanami kankichik alli kawsaypak.",Y también tienen que aprender cosas útiles para la vida.,This is a taiwanese village in the north of the country.
Shinami shuk yuyak runa nin karyan.,Así decía un filósofo.,Shinami shuk yuyak runa nin karyan.
Pay presidenteka wañuchik presidentemi kan.,Fue un presidente criminal.,Pay the president's salary.
Chaykunami allipacha lavanderíakuna kan.,Esas son las verdaderas lavanderías.,Chaykunami allipacha lavanderkan kan.
"Shinapash ñukaka mana oro kanichu tukuykuna alli rikuchun, alcaldesa.","Bueno, no soy monedita de oro para caerle bien a todos, Alcaldesa.",Shinapash ukaka mana oro kanichu tukuykuna alli rikuchun
Shuk kuchikuta rifapi churakripanchik.,Y una rifa por un chancho asado., kchikuta rifapi churakripanchik.
Tukuyta apakrini.,Me los llevo todos.,It's a pity he didn't.
Mana kullkipak llamkanchikchu ninakun.,Ellos dicen que no tienen fines de lucro.,Mana kullkipak llamkanchikchu ninakun.
Huyayay Cristo Rey!,¡Y viva Cristo Rey!,Cristo Rey!
"Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik.","Pues sobre eso mismo, Fredy, sobre la discriminación, somos diferentes.","Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik."
"Mashikuna, ñukanchik tantanakuyka wiñashkami.","Bueno, compañeros, compañeras, nuestro partido ha crecido.","Mashikuna, ukanchik tantanakuyka wiashkami."
"Kikin nishkanki, yankalla uyachik antami.","Usted lo ha dicho, una radio pirata.",I'm not sure if it's a good idea or not.
"Mashikuna kayman shamushpa napaykunata, ima willachiykunata chayachikpi allimi kan.","Que la gente venga aquí a saludar, a denunciar, está mejor.","A shamushpa is a person who tries to kill someone, but he does not kill anyone."
"Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.","Kunas, Nahuas, Mayas, Shipibos, Boras.","Kunakuna, nahuakana , mayaki, shipiboku, borakunda."
Tukuykuna internetta charichunmi kaparishun.,Exigiremos un acceso universal a internet.,I'm not a big fan of the internet.
Imashpatak na shuk tiendata churanchik?,¿Por qué no ponemos una tiendita?,Imashpatak at shuk tiendata churanchik?
"Ari, shinami, Fredy.","Sí, exactamente, Fredy.","shinami, Fredy."
Imatak shinashun.,¿Qué hacemos?,Imatak Shinashun.
Pandemiamanta rimaykuna,Historias de la pandemia,Pandemiamanta rimaykuna
Shinapash kaypi kawsakkunapa mutsurinakunatapash rurashunmi.,Se ecompromete con varias obras sociales.,Shinapash is the name of a village in the north-eastern part of the country.
"Kanta, ñukanchik Matildita ushikutapash.","A ti y a Matildita, nuestra hijita.","Kanta, ukanchik Matildita."
Chay Guapo nishka na hapichishka kakpika wichashun nishpa maskanakun.,Ese Guapo cuando no está preso lo andan buscando.,Chay Guapo is a professional wrestler.
"Ari ari, chay.","Sí sí, eso.","Ari, chay."
Shina rimakun mana sakishachu.,Y eso no lo voy a permitir.,Shina rimakun sakishachu.
"Yachana wasiman tikrankapak, shinaka chayka kikinkunapak hawa.","Volver a clases, pero eso sí, bajo la responsabilidad de ustedes.",The shinaka chayka is a taiwanese mandapa.
"Alli mikuytaka charinchikmi ñukanchik yuyukunata, murukunata huntachishpa mikuna kanchik.",Cuantos más colores hay en el plato mejor estamos comiendo.,"Alli mikuytaka charinchikmi ukanchik yuyukunata, murukuta huntachishpa mikuna kotik."
Kikinka imatatak ningui kay hawa?,¿Qué propone usted sobre esto?,Is there anything else I can do about it?
Ninan nanayta charirka apéndice nishkawan.,Era una apendicitis aguda.,Ninan's charirka apéndice nishkawan.
Ñukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.,Por una ventaja de nueve puntos había ganado nuestro candidato Amaru Sánchez.,ukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.
"Nishkata paktachishpa, Amaru Sánchezman uchalla willaykunata kunkapak paypa ayllullaktaman rirkani.","Dicho y hecho, me fui a calentarle las orejas al dirigente Amaru Sánchez en su comunidad río arriba.",Amaru Sánchezman is a convicted felon who has been sentenced to life in prison.
"Ari, ari, makita satishpa, ashnan, petróleo hicharishka.","Sí, sí, metan sus manos, apesta, petróleo derramado.","Ari, ari, makita satishpa, Ashnan, petróleo hicharishka."
Kaytaka kay organización mundial de la salud ukumantami shina nirka.,Ya lo declaró la Organización Mundial de la Salud.,Kaytaka kay organización mundial de la salud ukumantami shina nirka
"Pusak pacha tutapimi, municipiota pushak maykan misharishkataka yachashun.","A las 8 de la noche, ya están los resultados de las elecciones municipales.","In the meantime, the municipality is preparing for a resumption of military service."
Kunanka chay hampikunataka imapash mishkitashna shina karan karankichikchi.,"Lo único que falta ahora es que se pongan a repartir anticonceptivos, como quien regala caramelos.",Kunanka chay hampikunataka imapash mishkitashna sir karankichikchi.
"Tuparishun, mashikuna, tuparishun.","¡Hasta la vista, señores!","tuparishun, mashikuna."
"Ñukataka pipash mana kayashkachu, shinapash uchalla chayakrini.","A mí nadie me invitó, pero voy a tratar de llegar a tiempo.","ukataka pipash mana kayashkachu, shinapish uchalla."
Ashtawan uyakkunata charin.,Cada vez tienen más audiencia.,Ashtawan uyakkunata charin.
Chunka chusku capítulo,Capítulo catorce,Chunka chusku captulo
"Shinami yarin, sukta semanakuna shina kanka.","Algo así, Unas seis semanas.","Shinami yarin, sukta semanakuna shilakanka."
"Chayta, chayta rikuy.",Miren a aquel.,The chayta is a rikuy.
Tukuyllatakpacha.,Todas.,Tukuyllatakpacha.
"Ay, tayta Dios, ay, tayta Dios.","Ay, santo Dios, ay, santo Dios.","And, tay, to God."
"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",Si la “normalidad” que teníamos antes es el problema de ahora.,"Kunan llakikunata charinchik, ar, chayka kayna punchakuna washa normalidad nishkata"
"Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.","Mientras los de la radio estaban grabando en la desembocadura del río, el gerente de la empresa minera llegó a la Alcaldía.","Using a syringe to pierce the ear, he will then be able to hear the sound of the bellows."
Kikinpaka pushak kashkamanta ashtawan imakunata ? rikushunmi.,"Naturalmente, para usted, como director, tendríamos una consideración especial.",Is it a matter of time before we get to the end of the world?
Ñukaka kushillami kani.,Yo estoy contento.,ukaka kushillami kani.
Alli pacha.,Qué bueno.,Alli pacha.
"Wakllishka, ninkapak munanki.","Malogradas, querrá decir.","Wakllishka, ninkapak munanki."
"Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.","Conozco el dicho, pero no sé a qué se refiere, Amaru Sánchez.","Amaru Sánchez, a convicted drug trafficker, has been sentenced to life in prison."
Pichulami kan.,Pichula.,Pichulami kan.
"Imashinatak ñawpaman apakrinki alcaldíataka, consejo municipalwanpash imashinatak kakrin?",¿Cuál será su estilo de gobierno en la Alcaldía y con el Concejo Municipal?,Imashinatak awpaman
Ñuka Matildita ushikuka yachaytapash na yachanchu paypa wiksapi ima pasakukta.,Y mi hija Matildita ni sabe lo que está pasando en su cuerpo.,uka Matildita yachaytapash na hachanchu paypa wiksapi ima pasakukta.
Nimata mana killkashkanchikchu cobardekunamantaka.,De los cobardes no se ha escrito nada.,Killkashkanchikchu cobardekunamantaka.
"Chaykunaka curakuna, pastorkuna nin.",Eso dicen los curas y los pastores.,"Chaykunaka curakuna, pastor."
"Mana mana, wawa, mana pichula kanchu.","No no, niños, ninguna pichula.","Mana, wawa, mana pichula."
Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.,¿Y por qué con esas telas no cose unas cuantas mascarillas?,Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.
Imashinatak kawsakunki?,¿cómo va esa vida?,Imashinatak
Ñukanchikta llakichishpa sakishka.,Se burlaron de nosotros.,ukanchikta lakichishpa shakti.
"Shuk muyu shina, kiru tukunkapakka ashtaka pachakuna yallinarakmi.",Como una semilla que le falta mucho para ser un árbol.,"Shuk shina, kiru tukukapakka ashtaka pachakuna yallinarakmi."
Unkushkachu kanki?,¿Estás enferma?,kushkachu
Yarkaymantaka imatapash shinarinllami.,El hambre justifica los medios.,Yarkaymantaka imatapash shinarinllami.
"Eusebio, niway.","Eusebio, dime.","Eusebio, Niway."
Apolonio Jaboneropa ayllullaktapi purikun.,Apolonio en el Barrio del Jabonero.,Apolonio Jaboneropa ayllullaktapi purikun.
"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.","Sí sí, me han dicho que ahora está metido en drogas.","Then, if drogakunapi satirishka nishpa willachiwashka."
Chashnapish prueba covidta katuk warmitaka ñami hapirkakuna.,"Bueno, al menos a la que vendía las pruebas de covid en la bodega, ya la agarraron.",The test consists of a series of tests based on the results of the previous test.
"Servinkapak kaypimi kani, pushak juez.","Para servirle, señor Juez.","I'm not sure if it's a good thing or not, but I don't know."
"Aha, imatak kaypi maskanki, Fredy.","Ajá, ¿y qué te trae por aquí?","Aha, imatak kaypi maskanki, Fredy."
Allita nishpaka ñukanchik tukuchikrinakunchik.,Di mejor: lo vamos a acabar.,Allita was convicted of trespassing and obstruction of justice.
"Ari, chaymantami imatapash rurana kanchik, Magdalena.","Sí, por eso tenemos que hacer algo, Magdalena.","Ari, chaymantami imatapash ruraana kanchik, Magdalena."
Pakallachu llukshirka?,¿O se escapó?,акалла лкс
"Apolonio Gutiérrez, kanka shuk hatun huchachiytami charinki.","Apolonio Gutiérrez, hay una acusación muy grave en su contra.","Apolonio Gutiérrez, a convicted felon, has been sentenced to life in prison."
"Shinapash tukuymi wicharishka, ni shuk emisora mana yaykunchu.","Y la respuesta fue que “el espectro está saturado”, que no cabe ni una emisora más.","Shinapash is a supporter of the movement, and he is the author of many books."
Na shina shinalla ashtawanmi mirakun.,Son más frecuentes de lo que pareciera.,It's a shita shtawanmi mirakun.
Na yuyarikpika yachachisha.,"Si no se acuerdan, los enseñaré.",That's a good thing.
Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.
Uyachik antata uyankichik.,Escuchen su radio.,"I'm not sure if it's a bad thing or not, but I don't know."
"Despenalizashka tukuy droga, marihuana, cocaina, shinallatak heroínata chupakkunata.","Han despenalizado el consumo de todas las drogas, desde la marihuana hasta la cocaína y la heroína.","Drugs, marihuana, cocaine, shinallatak heronata chupakkunat."
"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Imanallatak kanki, shahupay, yaykuripay tiyaripay."
"Ari ari, shinapash, imasha imasha?","Sí, pero ¿cómo?",shinapash
"Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak wañushkakunata, waranka contagiarishkakunamanta.","Esas emisoras y los canales de televisión solo pasan accidentes, que si ya murieron cien con el virus, que se contagiaron mil.","Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak waushkakunata, waranka contagiarishkakunamanta."
"Kari wawakunatapash, ari, wakinpika kashna llakikunaka mana tiyanchu yuyanchik ñukanchik ayllullaktakunapi.","De niños también, sí, una pensaría que son casos excepcionales.","Kari wawakunatapash, ar, wakinpika kashna lakikunaka mana suyanchik ukanchi ayllullaktakunapi."
"Chikan chikan tarpushun, tantanakushupa katushun.",Sembramos separadas pero vendemos juntas.,A person who eats a lot of food is prone to heart attack.
"Shinami, shinapash mana tukuykuna kay caretawan runakunataka charinchu mashi.","Sí, pero no todo el mundo tiene gorras con careta.","Shinami, shinapash mana support kay caretawan runakunataka charinchu mashi."
Ama kutinpash shulluchik hampikunawanka satirichu.,No se meta otra vez en líos con el médico que hace abortos,But kutinpash shulluchik hampi kunawanka satirichu.
"Mana mana, Lula.","No no, Lula.","Mana mana, Lula."
Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.,Lo primero que vamos a hacer es denunciar que en esta comunidad no llega el internet.,It is a good idea to have an internet connection if you want to be able to use it.
"Kunanka visitakuna, solicitudkuna, presupuestokuna, proyectokuna kallarimun.","Y ahora comienzan las visitas, las solicitudes, los presupuestos, los proyectos.","A visit, solicitation, budget, project."
Nachu pinkanayan?,¿No te da vergüenza?,Is it a frog?
"Mana, killa kullkipish na tiyanchu, nima centavo.","Tampoco hay salario, ni un centavo.","Mana, killa kullkipish tiyanchu, nima centavo."
"Kishpichiway, Eusebio.","Lo siento, Eusebio.","Kishpichiway, Eusebio."
Yanapariy Pachakamak yanapachun.,Ayúdate que Dios te ayudará.,The pachakamak is a syllable of the yapariy.
"Na kankachu, chayka na kankaka.",No será así.,"It's a kung-fu, chayka kakaka."
"Ari, mashi Eusebio.","Sí, don Eusebio.","Ari, mashi Eusebio."
Tukuyta willana.,Que le cuenten todo.,It's a teddy bear.
"Yankata willaykuna uyarin, na alli rimaykunawanpash uyarin, ari, chisme nishkakuna.","Corren los rumores, mejor dicho, los chismes.","Yankata willaykuna uyarin, na alli riyabanawanpash uryana, arin chisme sahi."
Imatapash tarina kanchik.,Hay que encontrar algo.,Imatapash kanchik.
Ciudadanokuna.,"Ciudadanas, ciudadanos.",Ciudadanokuna.
Ñukapash kushikuni.,El gusto es mío.,Ukapash kushikuni.
Amaruka Alcaldíapi tiyakun.,Ahí está Amaru sentado en la Alcaldía.,Amaruka Alcaldapi tiyakun.
"Chusku pachakunata, lunesmanta vierneskaman paga illak llamkakrinki.",Cuatro horas diarias lunes-viernes sin goce de haber.,"In the morning, the sun rises on a cloudy day."
Ñukanchik yaya mamakunapak pachapi shina.,Como en los tiempos de nuestras abuelas.,ukanchik wrote a poem about pachapi shina.
"Allikuta rimashpaka, kaypika política nishkaka katuna pampa shinami kan.","Les soy sincero, aquí la política parece una feria.","Allikuta rimashpaka, poltica nikaka ka shinami kan."
Estadoka laico nishkami kan.,El estado es laico.,Laico nishkami kan.
Chayka mishanka mishankami.,Ése gana porque gana.,Chayka Mishanka mishankami.
Chashnallatak hawapi antenata churakrinchik.,Tiene una buena azotea para la antena.,Chashnallatak hawapi antenata churakrinchik.
Wañuchikkuna ama tiyachun.,Que no hayan asesinos.,I'm not a snooty person.
Ruku políticokunaka normalidadman tikranata rimanakun.,Los políticos viejos hablan de volver a la normalidad.,Ruku polticokunaka normalidadman tikranata rimanakun.
Ama chinkaychikchu.,No se lo pierdan.,And chinkaychikchu.
Na yapata investigana ministirinchu.,No hay que investigar mucho.,There is a report on the ministerial research.
Chunka capítulo,Capítulo diez,Chunka captulo
Ñuka churi Fredywan kushillami kani.,"Yo estoy orgulloso de Fredy, mi hijo.",uka churi Fredywan kushillamikani.
Doña Gumersinda.,Doña Gumersinda.,Doa Gumersinda.
"Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.","Alcaldesa Magdalena Ayala, un gusto conocerla y saludarla.","Alcaldesa Magdalena Ayala, minkachiway, kushikushkami"
"Ari, shinapacha.","Sí, eso.","Ari, shinapacha."
"Apolonio, kikinpa tantanakuyka maykantak kan?","¿Y cuál es su partido, señor Apolonio?",Apolonio?
Ninan ninan kushikushka karkanchik.,Estamos recontra felices.,Ninian ninan kushikushka karkanchik.
Martaku.,Martita.,Martaku.
Jaboneropak ayllullaktapi,En el Barrio del Jabonero,Jaboneropak ayllullaktapi
"Shinaka, coronaviruska mana treguata kunchu.","Bueno, pues, la mala es que el coronavirus no da tregua.","Shinaka, coronavirus mana treguata."
"Mana, mana.","No, no.","Mana, mana."
Makipi chakipi churana rantika.,Pues en vez echarlo en las manos o en los zapatos.,Makipi churana rantika.
"Kanpa wawa chichuyashkata yachakchayashpaka, ishkantitami wichashpa sakinka, Marta.","Si interrumpimos el embarazo de tu hijita y se enteran, vamos presos tú y yo también.","Marta is a village in the district of Chichuyashkata, the capital of the state of Karnataka."
"Alcaldesa, nachu kikinllatak kutin sakirinkapak kapanki?","Usted, Alcaldesa, se va a reelegir, me imagino.","Alcaldesa, what are you doing?"
"Kankunaka gobiernomanta, pushakmanta kankichik.",Y que ustedes son señores del gobierno.,"Kankunaka government, pushakmanta kankichik."
"Shuk rueda de prensatami rurakrinchik, chaypi tapuykunata kutichinkapak.",Vamos a hacer una rueda de prensa y respondo todas las preguntas.,The rurakrinchik is a syllable used to refer to an animal that has been bred in the past.
Shuk monjami celularpi rimakurka.,Hay una monja que habla en el celular.,Shuk monjami celularpi rimakurka.
Shuk shukta willachishpa purikrichunchu munanki?,¿Quieres que vaya una por una avisando?,khan sahib
Lunes punchata kallarishpa viernes punchakaman chusku orasta llamkakun.,Lunes a viernes cuatro horas pagando su pena.,ндиионне уастники наодтс в ден.
"Mana atallpa shina kapariychu, manarak lulunta wachashpaka.",No hay que cacarear los huevos antes de ponerlos.,"Mana atallpa shina, manarak lulunta wachashpaka."
Chaypipash tuksinakunamanta ninan mutsurishkakunamanta rimankapak.,Y explicar la importancia de las vacunas.,Chaypipash's support for mutsurishkakunamanta.
"Rikuychik, reguetónta takik chica fuego kuytsapashmi candidata tukushka.",Y hasta la reguetonera Chica Fire se lanzó como candidata.,"Rikuychik, reguetónta takik chica fuego kuluytsapashmi candidata support."
"Mana, mama, mana.","No, no, no.","Mana, mama, mana."
"Mama, ñukaka puñukurkanimi.","Mamá, yo estaba durmiendo.","Mama, I'm sorry."
"Mana shinachu, mashi.","No es así, señora.","Mana shinachu, mashi."
"Wawa, kunanka ima punchatak kan?","¿Qué día es hoy, hijo?","Wawa, when I was punchatakkan?"
Ama kayta rurawaychikchu.,No me hagan esto.,And there's rurawaychikchu.
Shinachari kan?,"¿Así es la cosa, mariposa?",shinachari
"Macondopi nishka shina tamyaka mana shayarirkachu nin, shinallatak kaypi tamyarka.",Como el de Macondo donde dicen que no paraba de llover.,"The shina tamyaka mana shasharirkachu nin, shiallatak kaypi tramyarka."
Wakin llantakunata charinkapak pachamamapa alli yanapawashkami.,Hoy me ha ayudado Dios a tener algunas llantas para parchar.,"I'm not sure if it's a good idea or not, but I don't know."
"Ari, ari, ña uyarkanimi Manolo kaypi llamkankapak munakta.","Sí, sí, ya escuché que Manolo quiere trabajar con nosotros.","Manolo, oh, man, you're a savior of the world."
Ñuka urpiku.,Conejita mía.,uka urpiku.
Kikinka nachu chay síndrome de Down nishkawan churita charinki?,¿Usted no es el que tiene un hijo down?,De Down syndrome
Chay tantamantallatak muspaña,Carecos de la misma argolla,Chay tantamantallatak muspaa
Wiksa urapi kuchushkata rikupaylla.,Puede comprobar la cicatriz en su bajo vientre.,Two urapis were raped.
"Kanpa churika sinchillamkak wamprami kan, Eusebio.","Muy trabajador tu hijo, Eusebio.",Eusebio.
Policía ñami shamukun.,La policía ya viene de camino.,Polica ami shamukun.
"Ari, chaymantallatak, kay tantanakuypika yachak tukushkakunata mana munanchikchu.","Por eso mismo, en este grupo no queremos caudillos sabelotodo.","Ari, chaymantallatak, is a tasanakuypika yanchakunata mana munanchikchu."
Josefina kumariman willakrini.,Le voy a contar a mi comadre Josefina.,Josefina kumariman willakrini.
