seed,input_kichwa,referencia_es,prediccion_es
2026,Shuk añankullaka mana mishanchu shuk elefantetaka.,Una hormiguita no le gana a un elefante.,Eso no es una elefante.
2026,Shinaka rurashun.,Entonces lo hagamos.,Eso es cierto.
2026,"Utkaychik, ñukanchikpa willaykunata kichukunka.","¡Y lo más pronto posible, que nos está quitando anuncios!","Usted, ustedes y otros cuentos están haciendo."
2026,"Sapikunaka Méxicomanta cartelkuna kan, Colombiamantakunapash.","La raíz son los cárteles de México, de Colombia.",Esas son las carteles de Méxicana y de Colombia.
2026,"Shuk wata chinkarishka, shuk watapash.","Un año perdido, otro más.","Eso es cierto, s."
2026,Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la escuela del Jabonero
2026,Wañushkakunapak llaktaman kachakman karka.,Me mandaban pál barrio de los acostados.,La gente es una mujer muy rápida.
2026,"Hala hala Amaru, shinaka, waynayak wasikuna katinkacha?","Pero ¿seguirán las zonas de tolerancia, como les llaman?",Y qué es Amaru?
2026,"Pay, mashi, pay, pero uyaway, ñukata uyaway.","Gracias, amigo, gracias, pero escúcheme.","No, seora, no no, yo no."
2026,Paypa riksik médico kay hampik mashipaman tapunkapak rirkami.,Me contó que iba a consultarle a un médico de su confianza.,"En el Barrio del Medio, un médico se acuerda en la escuela."
2026,"Shinapash ñami piñarishkakuna kay enemigo runakunata charin, empresariokunata, gobiernomanta runakunata.","Ya tiene muchos enemigos entre los empresarios, entre gente del gobierno.","Pero también tenemos las enemigas, los empresarios y los gobiernos."
2026,Kikin manarak vacunarinachu karkanki.,Usted no consta en la lista prioritaria de personal a vacunarse.,Eso no es vacunado.
2026,Payka mana ishkay siki mashichu.,"Un hombre serio, a carta cabal.",No sé ese amigo.
2026,"Willachiy, ama llulla shimikunawan sakirichun.",Diles que no se dejen engañar por palabras bonitas.,"S, no hay nias en el mundo."
2026,"Uyachik antakunaka anunciokunata yallichishpami kawsan, nachu?","Un medio de comunicación vive de los anuncios, ¿no es cierto?",Cómo se llama las anuncios?
2026,Kari warmi tukuyka kimirinlla ninmi.,Y la mariconada se pega.,Y esa mujer tiene que llevarla.
2026,Alli pacha!,Qué bueno.,Gracias!
2026,Chayshu kalluka llullankapak.,Y otra para no cumplir.,Eso es lo que hacemos.
2026,"Pirkaman, tukuykuna.",Todos a la pared.,"Gracias, amigos."
2026,Llaki pacha mari kanchik.,Qué desastre.,Eso es lo que voy a hacer.
2026,"Shuk wasipi cebollakunata charikpika, rantika papakunata kuyta ushanchik.",Si en una casa cosechan cebollas pueden cambiarlas por papas.,Esas cebollas y las papas están trabajando.
2026,Ñukapash shinami tapurini.,Lo mismo me pregunto yo.,Eso es lo que sabemos.
2026,Imasha Al Capone tiempopi alcohol prohibiciónwan.,Como en los tiempos de Al Capone con la prohibición del alcohol.,"En el tiempo al Capone, la prohibición de alcohol."
2026,Paktarak shimikunawan.,"Señora, tenga cuidado con las palabras.",Eso es una emisora.
2026,"Kikinka manachu yachanki, pushak alcaldesa, covid unkuyka huchakuna hunta kashkamanta, supaypak ruraykunami kan,t ukuy runakunata manchachishka charinkapak?","¿Acaso usted no sabe, señora alcaldesa, que el covid es el resultado de la acumulación de pecados, que es una táctica de Satanás para desatar el pánico y controlar a la humanidad?","Cómo no sé, alcaldesa, covid y el ro de las nias, a trabajar con ellos?"
2026,Chaymi kanta kayashkani.,Por eso te he llamado.,Eso es lo que dice.
2026,"Dios yayapak, Dios churipak, Espíritu Santopak.","En el nombre del Padre, del Hijo y del Espíritu Santo.","La Dios dice, la Espritu Santo dice."
2026,"Mana, pushak juez.","No, señor juez.","No, seor juez."
2026,Hawa pachamanta ushashka punchayamurka.,Comenzaron a caer rayos y centellas.,Historias de las emisoras.
2026,"Chaykunatami uyachik antapa willachina kanchik, tukuy yachachun.",Esas cosas tenemos que decir en la radio para que se sepan.,"Y esos amigos están en la escuela, y aqu tenemos."
2026,Nachu shina yari.,¿No es verdad?,No sé.
2026,Ashtaka ayllukunami kikinkunata katinakun.,Muchas familias están siguiendo ese buen ejemplo.,Esas ayudas están en el barrio.
2026,"Wayra purichun, ventanakunata paskashka kachun.",Con ventanas abiertas para que el aire circule.,Y las ventanas están en el ro.
2026,"Kiwa yakuta upiyashpa, ñallami alli tukunka.","Pero tomando sus hierbitas, ya va a mejorar.",Qué es lo que yo sabemos?
2026,Shinaka tomate wiñankakaman imatapash rurana kanchik.,"Pero en lo que crecen los tomates, tenemos que hacer algo.",Pero el tomate está en la escuela.
2026,"Uyay, uyay, kikinta, ari, kikinta nini, mashi.","Ey, usted, amigo.","Y qué, yo, seora?"
2026,"Chaypichu kanki, Miguelina?",¿Estás ahí?,"Qué dice, Miguelina?"
2026,Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,Este partido poltico está en ese pas.
2026,"Achkatatak mancharirinika, paniku.","Se me eriza la piel, hermana.","Eso es cierto, seora."
2026,"Shinapash, mama.","Pero, señora.","Pero, seora."
2026,Chay kawsayta kuyanchik nikkunaka kashnami nishkakuna.,Esos provida que tú dices se inventaron como así.,Y aqu tenemos que hacer esos trabajos.
2026,"Ay, ima nini yari.",Quiero decir.,"Ay, no sé."
2026,Shinapash yarkayka mana rishkachu.,Pero el hambre no ha desaparecido.,Pero no sé.
2026,"Panika mancharishkami, razónta charinmi.",La hermana está alterada y no le falta razón.,"Gracias, razón."
2026,"Shinallatak, yachanami kankichik alli kawsaypak.",Y también tienen que aprender cosas útiles para la vida.,"Por eso, ya sabemos que estamos aqu."
2026,Shinami shuk yuyak runa nin karyan.,Así decía un filósofo.,Eso es una buena idea.
2026,Pay presidenteka wañuchik presidentemi kan.,Fue un presidente criminal.,El presidente no es una presidencia.
2026,Chaykunami allipacha lavanderíakuna kan.,Esas son las verdaderas lavanderías.,Esos lavanderas están en el Barrio del Sol.
2026,"Shinapash ñukaka mana oro kanichu tukuykuna alli rikuchun, alcaldesa.","Bueno, no soy monedita de oro para caerle bien a todos, Alcaldesa.","Pero yo no tengo ninguna oro, alcaldesa."
2026,Shuk kuchikuta rifapi churakripanchik.,Y una rifa por un chancho asado.,Y esa gente tiene que llevar las rifas.
2026,Tukuyta apakrini.,Me los llevo todos.,La gente está en el ro.
2026,Mana kullkipak llamkanchikchu ninakun.,Ellos dicen que no tienen fines de lucro.,No tienen ningn problema.
2026,Huyayay Cristo Rey!,¡Y viva Cristo Rey!,Hombre Cristo Rey!
2026,"Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik.","Pues sobre eso mismo, Fredy, sobre la discriminación, somos diferentes.","En el Barrio del Mundo, Fredy, la discriminación está muy importante."
2026,"Mashikuna, ñukanchik tantanakuyka wiñashkami.","Bueno, compañeros, compañeras, nuestro partido ha crecido.","Seoras, ustedes están en el barrio."
2026,"Kikin nishkanki, yankalla uyachik antami.","Usted lo ha dicho, una radio pirata.",Y qué es lo que quiero ensear?
2026,"Mashikuna kayman shamushpa napaykunata, ima willachiykunata chayachikpi allimi kan.","Que la gente venga aquí a saludar, a denunciar, está mejor.",Las mujeres tienen el trabajo y los nios no saben.
2026,"Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.","Kunas, Nahuas, Mayas, Shipibos, Boras.","Las nias, las hijas y los marinos, los mercados, el bosque."
2026,Tukuykuna internetta charichunmi kaparishun.,Exigiremos un acceso universal a internet.,Los trabajadores tienen el internet.
2026,Imashpatak na shuk tiendata churanchik?,¿Por qué no ponemos una tiendita?,Y qué tiene eso?
2026,"Ari, shinami, Fredy.","Sí, exactamente, Fredy.","S, seor Fredy."
2026,Imatak shinashun.,¿Qué hacemos?,Eso es cierto.
2026,Pandemiamanta rimaykuna,Historias de la pandemia,Pandemia
2026,Shinapash kaypi kawsakkunapa mutsurinakunatapash rurashunmi.,Se ecompromete con varias obras sociales.,Pero esos aguas están trabajando con la gente.
2026,"Kanta, ñukanchik Matildita ushikutapash.","A ti y a Matildita, nuestra hijita.","Seora, yo tengo Matildita."
2026,Chay Guapo nishka na hapichishka kakpika wichashun nishpa maskanakun.,Ese Guapo cuando no está preso lo andan buscando.,Esa Guapo es una emisora de trabajo en la escuela.
2026,"Ari ari, chay.","Sí sí, eso.","S, s."
2026,Shina rimakun mana sakishachu.,Y eso no lo voy a permitir.,Eso no es cierto.
2026,"Yachana wasiman tikrankapak, shinaka chayka kikinkunapak hawa.","Volver a clases, pero eso sí, bajo la responsabilidad de ustedes.",Y aqu tenemos que hacer eso.
2026,"Alli mikuytaka charinchikmi ñukanchik yuyukunata, murukunata huntachishpa mikuna kanchik.",Cuantos más colores hay en el plato mejor estamos comiendo.,"Y aqu tenemos esos trabajos para escuchar nuestras cosas, nuestros muriós."
2026,Kikinka imatatak ningui kay hawa?,¿Qué propone usted sobre esto?,Y qué es lo que hay?
2026,Ninan nanayta charirka apéndice nishkawan.,Era una apendicitis aguda.,No sabemos que el apéndice está tan difcil.
2026,Ñukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.,Por una ventaja de nueve puntos había ganado nuestro candidato Amaru Sánchez.,"En el caso de la candidata Amaru Sánchez, estoy en un punto."
2026,"Nishkata paktachishpa, Amaru Sánchezman uchalla willaykunata kunkapak paypa ayllullaktaman rirkani.","Dicho y hecho, me fui a calentarle las orejas al dirigente Amaru Sánchez en su comunidad río arriba.","No sé, Amaru Sánchez está en el Barrio del Pueblo."
2026,"Ari, ari, makita satishpa, ashnan, petróleo hicharishka.","Sí, sí, metan sus manos, apesta, petróleo derramado.","Seora, s, que el petróleo está abierto."
2026,Kaytaka kay organización mundial de la salud ukumantami shina nirka.,Ya lo declaró la Organización Mundial de la Salud.,Esto es una organización mundial de la salud.
2026,"Pusak pacha tutapimi, municipiota pushak maykan misharishkataka yachashun.","A las 8 de la noche, ya están los resultados de las elecciones municipales.","Por eso, en este pas, la municipio tiene que ayudarle."
2026,Kunanka chay hampikunataka imapash mishkitashna shina karan karankichikchi.,"Lo único que falta ahora es que se pongan a repartir anticonceptivos, como quien regala caramelos.","En el Barrio del Pueblo, estas hambres están trabajando en la escuela."
2026,"Tuparishun, mashikuna, tuparishun.","¡Hasta la vista, señores!","S, seoras, s."
2026,"Ñukataka pipash mana kayashkachu, shinapash uchalla chayakrini.","A mí nadie me invitó, pero voy a tratar de llegar a tiempo.","Y yo no sé, pero esto es cierto."
2026,Ashtawan uyakkunata charin.,Cada vez tienen más audiencia.,Eso es lo que tiene.
2026,Chunka chusku capítulo,Capítulo catorce,Captulo da
2026,"Shinami yarin, sukta semanakuna shina kanka.","Algo así, Unas seis semanas.","Bueno, esos semanas s."
2026,"Chayta, chayta rikuy.",Miren a aquel.,"S, s."
2026,Tukuyllatakpacha.,Todas.,En el Barrio del Pueblo.
2026,"Ay, tayta Dios, ay, tayta Dios.","Ay, santo Dios, ay, santo Dios.","Y, tay, Dios?"
2026,"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",Si la “normalidad” que teníamos antes es el problema de ahora.,"En el mundo, ahora, la normalidad de la gente está en las escuelas del barrio."
2026,"Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.","Mientras los de la radio estaban grabando en la desembocadura del río, el gerente de la empresa minera llegó a la Alcaldía.","En el Barrio del Alcalda, en la escuela de la minera, se acuerda con una gerente de mineras."
2026,Kikinpaka pushak kashkamanta ashtawan imakunata ? rikushunmi.,"Naturalmente, para usted, como director, tendríamos una consideración especial.",Cómo se llama esas palabras?
2026,Ñukaka kushillami kani.,Yo estoy contento.,Y yo lo sé.
2026,Alli pacha.,Qué bueno.,Gracias.
2026,"Wakllishka, ninkapak munanki.","Malogradas, querrá decir.","Gracias, yo no sé."
2026,"Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.","Conozco el dicho, pero no sé a qué se refiere, Amaru Sánchez.","Seora, ya sabemos, pero no tenemos ninguna oportunidad en el mundo, Amaru Sánchez."
2026,Pichulami kan.,Pichula.,Eso es cierto.
2026,"Imashinatak ñawpaman apakrinki alcaldíataka, consejo municipalwanpash imashinatak kakrin?",¿Cuál será su estilo de gobierno en la Alcaldía y con el Concejo Municipal?,"Y qué es la alcalda, la consejo municipal?"
2026,Ñuka Matildita ushikuka yachaytapash na yachanchu paypa wiksapi ima pasakukta.,Y mi hija Matildita ni sabe lo que está pasando en su cuerpo.,Mi Matildita es una mujer que no tiene ningn trabajo.
2026,Nimata mana killkashkanchikchu cobardekunamantaka.,De los cobardes no se ha escrito nada.,No tienen ninguna cobarde.
2026,"Chaykunaka curakuna, pastorkuna nin.",Eso dicen los curas y los pastores.,Esas cuadras y pastores.
2026,"Mana mana, wawa, mana pichula kanchu.","No no, niños, ninguna pichula.","No no, nio, no sé."
2026,Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.,¿Y por qué con esas telas no cose unas cuantas mascarillas?,Pero esos pintos no son mascarillas.
2026,Imashinatak kawsakunki?,¿cómo va esa vida?,Cómo eso?
2026,Ñukanchikta llakichishpa sakishka.,Se burlaron de nosotros.,Y tenemos que hacer esos amigos.
2026,"Shuk muyu shina, kiru tukunkapakka ashtaka pachakuna yallinarakmi.",Como una semilla que le falta mucho para ser un árbol.,"Eso es cierto, y aqu tenemos que llevar las cosas."
2026,Unkushkachu kanki?,¿Estás enferma?,No sé?
2026,Yarkaymantaka imatapash shinarinllami.,El hambre justifica los medios.,En el Barrio del Pueblo.
2026,"Eusebio, niway.","Eusebio, dime.","Eusebio, seora."
2026,Apolonio Jaboneropa ayllullaktapi purikun.,Apolonio en el Barrio del Jabonero.,Apolonio Jabonero es un maestro de la escuela.
2026,"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.","Sí sí, me han dicho que ahora está metido en drogas.","Bueno, las drogas están vendiendo en el barrio."
2026,Chashnapish prueba covidta katuk warmitaka ñami hapirkakuna.,"Bueno, al menos a la que vendía las pruebas de covid en la bodega, ya la agarraron.",Pero la prueba de covid es una mujer muy rápida.
2026,"Servinkapak kaypimi kani, pushak juez.","Para servirle, señor Juez.","Eso es un servidor, seor juez."
2026,"Aha, imatak kaypi maskanki, Fredy.","Ajá, ¿y qué te trae por aquí?","Aha, no sé como eso, Fredy."
2026,Allita nishpaka ñukanchik tukuchikrinakunchik.,Di mejor: lo vamos a acabar.,Todo eso está trabajando con nuestros amigos.
2026,"Ari, chaymantami imatapash rurana kanchik, Magdalena.","Sí, por eso tenemos que hacer algo, Magdalena.","Seora, esa gente no tiene ningn problema, Magdalena."
2026,Pakallachu llukshirka?,¿O se escapó?,Cómo se llama?
2026,"Apolonio Gutiérrez, kanka shuk hatun huchachiytami charinki.","Apolonio Gutiérrez, hay una acusación muy grave en su contra.","Apolonio Gutiérrez, ese ao está trabajando."
2026,"Shinapash tukuymi wicharishka, ni shuk emisora mana yaykunchu.","Y la respuesta fue que “el espectro está saturado”, que no cabe ni una emisora más.",Pero no es un emisor.
2026,Na shina shinalla ashtawanmi mirakun.,Son más frecuentes de lo que pareciera.,No sé como eso.
2026,Na yuyarikpika yachachisha.,"Si no se acuerdan, los enseñaré.",No sabemos nada.
2026,Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,La violación es una vez más difcil que las nias.
2026,Uyachik antata uyankichik.,Escuchen su radio.,Usted está en el Barrio del Sol.
2026,"Despenalizashka tukuy droga, marihuana, cocaina, shinallatak heroínata chupakkunata.","Han despenalizado el consumo de todas las drogas, desde la marihuana hasta la cocaína y la heroína.","Despenalizamos todos los drogas, marihuana, cocana y el hero."
2026,"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es cierto, seora, nio, no sé."
2026,"Ari ari, shinapash, imasha imasha?","Sí, pero ¿cómo?",Qué dices?
2026,"Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak wañushkakunata, waranka contagiarishkakunamanta.","Esas emisoras y los canales de televisión solo pasan accidentes, que si ya murieron cien con el virus, que se contagiaron mil.","Y esas uyos están en la escuela, y aqu tenemos que contagiarse."
2026,"Kari wawakunatapash, ari, wakinpika kashna llakikunaka mana tiyanchu yuyanchik ñukanchik ayllullaktakunapi.","De niños también, sí, una pensaría que son casos excepcionales.","Esas mujeres, ahora, no tienen ningn trabajo en nuestras escuelas."
2026,"Chikan chikan tarpushun, tantanakushupa katushun.",Sembramos separadas pero vendemos juntas.,Gracias a la gente que el barrio está trabajando.
2026,"Shinami, shinapash mana tukuykuna kay caretawan runakunataka charinchu mashi.","Sí, pero no todo el mundo tiene gorras con careta.","Por eso, no tienen ninguna ayuda para las carreteras, seora."
2026,Ama kutinpash shulluchik hampikunawanka satirichu.,No se meta otra vez en líos con el médico que hace abortos,No tenemos ninguna ayuda por esos amigos.
2026,"Mana mana, Lula.","No no, Lula.","No no, Lula."
2026,Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.,Lo primero que vamos a hacer es denunciar que en esta comunidad no llega el internet.,"En el Barrio del Pueblo, la Internet no está tan sólida como ahora."
2026,"Kunanka visitakuna, solicitudkuna, presupuestokuna, proyectokuna kallarimun.","Y ahora comienzan las visitas, las solicitudes, los presupuestos, los proyectos.","En las visitas, solicitudes, presupuestos y proyectos."
2026,Nachu pinkanayan?,¿No te da vergüenza?,No es cierto?
2026,"Mana, killa kullkipish na tiyanchu, nima centavo.","Tampoco hay salario, ni un centavo.","No, es un centavo."
2026,"Kishpichiway, Eusebio.","Lo siento, Eusebio.","Gracias, Eusebio."
2026,Yanapariy Pachakamak yanapachun.,Ayúdate que Dios te ayudará.,En el Barrio del Pacfico.
2026,"Na kankachu, chayka na kankaka.",No será así.,"No, no no."
2026,"Ari, mashi Eusebio.","Sí, don Eusebio.","S, seora Eusebio."
2026,Tukuyta willana.,Que le cuenten todo.,Gracias.
2026,"Yankata willaykuna uyarin, na alli rimaykunawanpash uyarin, ari, chisme nishkakuna.","Corren los rumores, mejor dicho, los chismes.","En el Barrio del Pueblo, en las escuelas de la Guadalupe."
2026,Imatapash tarina kanchik.,Hay que encontrar algo.,No sé el tiempo.
2026,Ciudadanokuna.,"Ciudadanas, ciudadanos.",Ciudadanos.
2026,Ñukapash kushikuni.,El gusto es mío.,Y yo sabemos.
2026,Amaruka Alcaldíapi tiyakun.,Ahí está Amaru sentado en la Alcaldía.,Amaru es alcalda.
2026,"Chusku pachakunata, lunesmanta vierneskaman paga illak llamkakrinki.",Cuatro horas diarias lunes-viernes sin goce de haber.,"El da y el lunes, la viernes."
2026,Ñukanchik yaya mamakunapak pachapi shina.,Como en los tiempos de nuestras abuelas.,Nosotros tenemos esas mamas.
2026,"Allikuta rimashpaka, kaypika política nishkaka katuna pampa shinami kan.","Les soy sincero, aquí la política parece una feria.","En el Barrio del Pueblo, este poltico está en la escuela."
2026,Estadoka laico nishkami kan.,El estado es laico.,Estado laico.
2026,Chayka mishanka mishankami.,Ése gana porque gana.,Eso es lo que quiere.
2026,Chashnallatak hawapi antenata churakrinchik.,Tiene una buena azotea para la antena.,"En el Barrio del Pueblo, tenemos una antena."
2026,Wañuchikkuna ama tiyachun.,Que no hayan asesinos.,No hay nios.
2026,Ruku políticokunaka normalidadman tikranata rimanakun.,Los políticos viejos hablan de volver a la normalidad.,Y los polticos tienen una normalidad.
2026,Ama chinkaychikchu.,No se lo pierdan.,No sé.
2026,Na yapata investigana ministirinchu.,No hay que investigar mucho.,No es un ministrio de investigación.
2026,Chunka capítulo,Capítulo diez,Captulo
2026,Ñuka churi Fredywan kushillami kani.,"Yo estoy orgulloso de Fredy, mi hijo.",Mi hijo Fredy está en el Barrio del Sol.
2026,Doña Gumersinda.,Doña Gumersinda.,Doa Gumersinda.
2026,"Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.","Alcaldesa Magdalena Ayala, un gusto conocerla y saludarla.","Alcaldesa Magdalena Ayala, en el Barrio del Pueblo, está trabajando."
2026,"Ari, shinapacha.","Sí, eso.","S, seora."
2026,"Apolonio, kikinpa tantanakuyka maykantak kan?","¿Y cuál es su partido, señor Apolonio?","Apolonio, cuál es lo que dicen?"
2026,Ninan ninan kushikushka karkanchik.,Estamos recontra felices.,No es cierto.
2026,Martaku.,Martita.,Martaku.
2026,Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la escuela del Jabonero
2026,"Shinaka, coronaviruska mana treguata kunchu.","Bueno, pues, la mala es que el coronavirus no da tregua.","As que, el coronavirus no tiene tregua."
2026,"Mana, mana.","No, no.","No, no."
2026,Makipi chakipi churana rantika.,Pues en vez echarlo en las manos o en los zapatos.,Eso es una buena idea.
2026,"Kanpa wawa chichuyashkata yachakchayashpaka, ishkantitami wichashpa sakinka, Marta.","Si interrumpimos el embarazo de tu hijita y se enteran, vamos presos tú y yo también.","En el Barrio del Pueblo y en la Guadalajara, Marta."
2026,"Alcaldesa, nachu kikinllatak kutin sakirinkapak kapanki?","Usted, Alcaldesa, se va a reelegir, me imagino.","Alcaldesa, cuál es lo que quiero hacer?"
2026,"Kankunaka gobiernomanta, pushakmanta kankichik.",Y que ustedes son señores del gobierno.,"Y los gobiernos, las emisoras."
2026,"Shuk rueda de prensatami rurakrinchik, chaypi tapuykunata kutichinkapak.",Vamos a hacer una rueda de prensa y respondo todas las preguntas.,Ese rueda de prensa es una buena oportunidad para la gente.
2026,Shuk monjami celularpi rimakurka.,Hay una monja que habla en el celular.,Esa monja celular es una buena idea.
2026,Shuk shukta willachishpa purikrichunchu munanki?,¿Quieres que vaya una por una avisando?,Y qué es lo que tenemos en la escuela?
2026,Lunes punchata kallarishpa viernes punchakaman chusku orasta llamkakun.,Lunes a viernes cuatro horas pagando su pena.,El viernes es un da de oración en la ciudad del ro.
2026,"Mana atallpa shina kapariychu, manarak lulunta wachashpaka.",No hay que cacarear los huevos antes de ponerlos.,"No tiene ningn agua, no tenemos un lmite."
2026,Chaypipash tuksinakunamanta ninan mutsurishkakunamanta rimankapak.,Y explicar la importancia de las vacunas.,Eso es lo que tenemos en las escuelas del mundo.
2026,"Rikuychik, reguetónta takik chica fuego kuytsapashmi candidata tukushka.",Y hasta la reguetonera Chica Fire se lanzó como candidata.,"En el Barrio del Reguetón, la candidata de la chica fuego."
2026,"Mana, mama, mana.","No, no, no.","No, mama, no."
2026,"Mama, ñukaka puñukurkanimi.","Mamá, yo estaba durmiendo.","Mamá, yo estoy haciendo."
2026,"Mana shinachu, mashi.","No es así, señora.","No sé, seora."
2026,"Wawa, kunanka ima punchatak kan?","¿Qué día es hoy, hijo?",Qué dices?
2026,Ama kayta rurawaychikchu.,No me hagan esto.,No sé eso.
2026,Shinachari kan?,"¿Así es la cosa, mariposa?",Y qué?
2026,"Macondopi nishka shina tamyaka mana shayarirkachu nin, shinallatak kaypi tamyarka.",Como el de Macondo donde dicen que no paraba de llover.,"Pero el Macondo no tiene ninguna ayuda, pero está trabajando."
2026,Wakin llantakunata charinkapak pachamamapa alli yanapawashkami.,Hoy me ha ayudado Dios a tener algunas llantas para parchar.,"En el Barrio del Pueblo, las llantas se encuentran."
2026,"Ari, ari, ña uyarkanimi Manolo kaypi llamkankapak munakta.","Sí, sí, ya escuché que Manolo quiere trabajar con nosotros.","No, no, ya sabemos que Manolo está en el mundo."
2026,Ñuka urpiku.,Conejita mía.,Yo sé.
2026,Kikinka nachu chay síndrome de Down nishkawan churita charinki?,¿Usted no es el que tiene un hijo down?,Y qué es la sndrome de Down?
2026,Chay tantamantallatak muspaña,Carecos de la misma argolla,Esto es una mujer.
2026,Wiksa urapi kuchushkata rikupaylla.,Puede comprobar la cicatriz en su bajo vientre.,En el Barrio del Pueblo.
2026,"Kanpa churika sinchillamkak wamprami kan, Eusebio.","Muy trabajador tu hijo, Eusebio.","Eso es una buena cosa, Eusebio."
2026,Policía ñami shamukun.,La policía ya viene de camino.,La polica yo sabemos.
2026,"Ari, chaymantallatak, kay tantanakuypika yachak tukushkakunata mana munanchikchu.","Por eso mismo, en este grupo no queremos caudillos sabelotodo.","Seora, eso no sabemos que la gente no está en trabajo con las nias."
2026,Josefina kumariman willakrini.,Le voy a contar a mi comadre Josefina.,Josefina está en el Barrio del Pueblo.
2026,Ñami ñami bonokunata kunakunchik pandemiamanta wichashka uchilla comersiantekunaman.,Ya estamos dando bonos a los pequeños comercios que han cerrado por la pandemia.,Tenemos bonos y comercios en la pandemia.
