audio_path,kichwa_original,kichwa_normalizado
155.mp3,Yachana wasipi yachachinakun.,yachana wasipi yachachinakun
219.mp3,Shukniki artículopi nipanmi.,shukniki artículopi nipanmi
52.mp3,Pitak hamuktankichik?,pitak hamuktankichik
93.mp3,Ñuka ? tapunarak kani..,ñuka tapunarak kani
178.mp3,Shuk alli ñakcharishka warmi iglesiamanta pastorwan uyachik antaman chayarka.,shuk alli ñakcharishka warmi iglesiamanta pastorwan uyachik antaman chayarka
188.mp3,"Uyachina antapi rimachun, churankichik?",uyachina antapi rimachun churankichik
146.mp3,Ashtaka muspami kashkani.,ashtaka muspami kashkani
152.mp3,"Shuyay, Fredyta kayachikrini.",shuyay fredyta kayachikrini
100.mp3,[SPANISH],spanish
179.mp3,"Tukuykunami shinallatak kankichik, kikinpash waktak runami kanki yuyachin.",tukuykunami shinallatak kankichik kikinpash waktak runami kanki yuyachin
76.mp3,"Ñukaka yuyanimi, ayllu llaktapak uyachik antaka kanmi.",ñukaka yuyanimi ayllu llaktapak uyachik antaka kanmi
138.mp3,"Narak ima proyectokuna kallarikpi paykunapak derechos colectivos, shinallatak allpakuna wakllirikukpi.",narak ima proyectokuna kallarikpi paykunapak derechos colectivos shinallatak allpakuna wakllirikukpi
30.mp3,"Llaki llaki mashi Gumer, kay pachakunapirak llakipi urmashka.",llaki llaki mashi gumer kay pachakunapirak llakipi urmashka
64.mp3,Shinapash na kaspi chakita ? fierrokunata charinichu pipash.,shinapash na kaspi chakita fierrokunata charinichu pipash
77.mp3,Llaktakunapak shimi shinami.,llaktakunapak shimi shinami
177.mp3,"Mamalla, ?.",mamalla 
45.mp3,Ashtawan kawsankapak munashpachu.,ashtawan kawsankapak munashpachu
70.mp3,"Tukuy mañashkakunata, kay ayllu llaktapi shuk radio comunitariata mutsuriymanta.",tukuy mañashkakunata kay ayllu llaktapi shuk radio comunitariata mutsuriymanta
7.mp3,"Amaruwan, comunamanta dirigentekunawan, shuk mashikunawanpash.",amaruwan comunamanta dirigentekunawan shuk mashikunawanpash
210.mp3,Ayllullaktakunapika nimata.,ayllullaktakunapika nimata
178.mp3,Ñukanchik empresaka mana mapayachinchu.,ñukanchik empresaka mana mapayachinchu
11.mp3,Hospitalmanta shuwashka prueba covidkunata hatukunki ninka?,hospitalmanta shuwashka prueba covidkunata hatukunki ninka
58.mp3,Shinapash shinchita pukunrakmi.,shinapash shinchita pukunrakmi
35.mp3,None,none
133.mp3,Anka shina ama puma mikuchun.,anka shina ama puma mikuchun
135.mp3,Mana alli warmi kani yuyaykunatami hapin nikkunami tiyan.,mana alli warmi kani yuyaykunatami hapin nikkunami tiyan
69.mp3,Kipamanka tukuy formulariokunata huntachirkani.,kipamanka tukuy formulariokunata huntachirkani
45.mp3,Muruman hakuchik.,muruman hakuchik
91.mp3,? mashiku., mashiku
177.mp3,Imasha nirkani.,imasha nirkani
59.mp3,Huchami kan.,huchami kan
137.mp3,Pueblos indígenas y originarioskunata tapunarak kan.,pueblos indígenas y originarioskunata tapunarak kan
211.mp3,"Kashna rimariykunamanta, mana yachachinchu kari wawakunaman, warmi wawakumanpash.",kashna rimariykunamanta mana yachachinchu kari wawakunaman warmi wawakumanpash
