seed,input_kichwa,referencia_es,prediccion_es
42,Nimata na tarinchik.,No conseguimos nada.,No es cierto.
42,Mana mikushpa mañaykunawan.,Ayuno y oración.,No tienen nias.
42,Shuk añankullaka mana mishanchu shuk elefantetaka.,Una hormiguita no le gana a un elefante.,Eso no es una elefante.
42,Shinaka rurashun.,Entonces lo hagamos.,Eso es cierto.
42,"Utkaychik, ñukanchikpa willaykunata kichukunka.","¡Y lo más pronto posible, que nos está quitando anuncios!","Escuchamos, ustedes están en el Barrio del Sol."
42,"Sapikunaka Méxicomanta cartelkuna kan, Colombiamantakunapash.","La raíz son los cárteles de México, de Colombia.",Esas son las carteles de Méxicana y de Colombia.
42,"Shuk wata chinkarishka, shuk watapash.","Un año perdido, otro más.","Eso es lo que voy a hacer, todava."
42,Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la escuela del Jabonero
42,Wañushkakunapak llaktaman kachakman karka.,Me mandaban pál barrio de los acostados.,La gente se llama a las nias.
42,"Hala hala Amaru, shinaka, waynayak wasikuna katinkacha?","Pero ¿seguirán las zonas de tolerancia, como les llaman?",Cómo se llama Amaru?
42,"Pay, mashi, pay, pero uyaway, ñukata uyaway.","Gracias, amigo, gracias, pero escúcheme.","No, seora, no, pero yo me ayudara."
42,Paypa riksik médico kay hampik mashipaman tapunkapak rirkami.,Me contó que iba a consultarle a un médico de su confianza.,"En el Barrio del Medio, un médico está en la escuela."
42,"Shinapash ñami piñarishkakuna kay enemigo runakunata charin, empresariokunata, gobiernomanta runakunata.","Ya tiene muchos enemigos entre los empresarios, entre gente del gobierno.","Pero también tenemos las enemigas, los empresarios y los gobiernos."
42,Kikin manarak vacunarinachu karkanki.,Usted no consta en la lista prioritaria de personal a vacunarse.,Eso no es vacunado.
42,Payka mana ishkay siki mashichu.,"Un hombre serio, a carta cabal.",No sé esos amigos.
42,"Willachiy, ama llulla shimikunawan sakirichun.",Diles que no se dejen engañar por palabras bonitas.,"S, no hay nias en el mundo."
42,"Uyachik antakunaka anunciokunata yallichishpami kawsan, nachu?","Un medio de comunicación vive de los anuncios, ¿no es cierto?",Cómo vamos a llamar las anuncias?
42,Kari warmi tukuyka kimirinlla ninmi.,Y la mariconada se pega.,Y esa mujer tiene una buena vida.
42,Alli pacha!,Qué bueno.,Gracias!
42,Chayshu kalluka llullankapak.,Y otra para no cumplir.,Eso es lo que voy a hacer.
42,"Pirkaman, tukuykuna.",Todos a la pared.,"Gracias, tuyos."
42,Llaki pacha mari kanchik.,Qué desastre.,Eso es lo que sabemos.
42,"Shuk wasipi cebollakunata charikpika, rantika papakunata kuyta ushanchik.",Si en una casa cosechan cebollas pueden cambiarlas por papas.,Esas cebollas y las papas están en el Barrio del Pueblo.
42,Ñukapash shinami tapurini.,Lo mismo me pregunto yo.,Eso es lo que voy a hacer.
42,Imasha Al Capone tiempopi alcohol prohibiciónwan.,Como en los tiempos de Al Capone con la prohibición del alcohol.,"En el tiempo al Capone, la prohibición de alcohol."
42,Paktarak shimikunawan.,"Señora, tenga cuidado con las palabras.",Eso es lo que voy a hacer.
42,"Kikinka manachu yachanki, pushak alcaldesa, covid unkuyka huchakuna hunta kashkamanta, supaypak ruraykunami kan,t ukuy runakunata manchachishka charinkapak?","¿Acaso usted no sabe, señora alcaldesa, que el covid es el resultado de la acumulación de pecados, que es una táctica de Satanás para desatar el pánico y controlar a la humanidad?","Quién no sé, alcaldesa, covid y todos los hombres en el campo del ro, ah tenemos trabajo como nias?"
42,Chaymi kanta kayashkani.,Por eso te he llamado.,Eso es cierto.
42,"Dios yayapak, Dios churipak, Espíritu Santopak.","En el nombre del Padre, del Hijo y del Espíritu Santo.",Espritu Santo es Dios.
42,"Mana, pushak juez.","No, señor juez.","No, seor juez."
42,Hawa pachamanta ushashka punchayamurka.,Comenzaron a caer rayos y centellas.,Historias de las emisoras.
42,"Chaykunatami uyachik antapa willachina kanchik, tukuy yachachun.",Esas cosas tenemos que decir en la radio para que se sepan.,Y aqu tenemos que hacer esos amigos.
42,Nachu shina yari.,¿No es verdad?,No sé.
42,Ashtaka ayllukunami kikinkunata katinakun.,Muchas familias están siguiendo ese buen ejemplo.,Esas ayudas están en el barrio.
42,"Wayra purichun, ventanakunata paskashka kachun.",Con ventanas abiertas para que el aire circule.,Y las ventanas están en el ro.
42,"Kiwa yakuta upiyashpa, ñallami alli tukunka.","Pero tomando sus hierbitas, ya va a mejorar.","Y eso no sabemos, pero yo está en la escuela."
42,Shinaka tomate wiñankakaman imatapash rurana kanchik.,"Pero en lo que crecen los tomates, tenemos que hacer algo.",Pero el tomate no tiene ninguna razón.
42,"Uyay, uyay, kikinta, ari, kikinta nini, mashi.","Ey, usted, amigo.","Y qué, yo, seora, lo sabe?"
42,"Chaypichu kanki, Miguelina?",¿Estás ahí?,"Qué dices, Miguelina?"
42,Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,Ese partido poltico está en ese pas.
42,"Achkatatak mancharirinika, paniku.","Se me eriza la piel, hermana.","Gracias, seora."
42,"Shinapash, mama.","Pero, señora.","Pero, mamá."
42,Chay kawsayta kuyanchik nikkunaka kashnami nishkakuna.,Esos provida que tú dices se inventaron como así.,Y esas palabras son las que se han hecho en esta escuela.
42,"Ay, ima nini yari.",Quiero decir.,"Ay, no sé."
42,Shinapash yarkayka mana rishkachu.,Pero el hambre no ha desaparecido.,Pero no es cierto.
42,"Panika mancharishkami, razónta charinmi.",La hermana está alterada y no le falta razón.,"Gracias, razón."
42,"Shinallatak, yachanami kankichik alli kawsaypak.",Y también tienen que aprender cosas útiles para la vida.,"Pero, yo sabemos que es una buena oportunidad."
42,Shinami shuk yuyak runa nin karyan.,Así decía un filósofo.,Pero esto es una cosa muy buena.
42,Pay presidenteka wañuchik presidentemi kan.,Fue un presidente criminal.,Ese presidente es una presidencia.
42,Chaykunami allipacha lavanderíakuna kan.,Esas son las verdaderas lavanderías.,Esos lavanderas tienen el trabajo.
42,"Shinapash ñukaka mana oro kanichu tukuykuna alli rikuchun, alcaldesa.","Bueno, no soy monedita de oro para caerle bien a todos, Alcaldesa.","Pero yo no tengo nada de oro, alcaldesa."
42,Shuk kuchikuta rifapi churakripanchik.,Y una rifa por un chancho asado.,Y esos rifas están trabajando.
42,Tukuyta apakrini.,Me los llevo todos.,Eso es lo que voy a hacer.
42,Mana kullkipak llamkanchikchu ninakun.,Ellos dicen que no tienen fines de lucro.,No tienen ningn trabajo.
42,Huyayay Cristo Rey!,¡Y viva Cristo Rey!,Hombre Cristo Rey!
42,"Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik.","Pues sobre eso mismo, Fredy, sobre la discriminación, somos diferentes.","En el Barrio del Sombrero, Fredy, la discriminación está muy importante."
42,"Mashikuna, ñukanchik tantanakuyka wiñashkami.","Bueno, compañeros, compañeras, nuestro partido ha crecido.","Seoras, tenemos que llevar a nuestros amigos."
42,"Kikin nishkanki, yankalla uyachik antami.","Usted lo ha dicho, una radio pirata.",Eso es lo que voy a hacer.
42,"Mashikuna kayman shamushpa napaykunata, ima willachiykunata chayachikpi allimi kan.","Que la gente venga aquí a saludar, a denunciar, está mejor.",Y a los nios en el Barrio del Pueblo no saban nada.
42,"Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.","Kunas, Nahuas, Mayas, Shipibos, Boras.","Los nios, los negros, el gobernador, las boracas."
42,Tukuykuna internetta charichunmi kaparishun.,Exigiremos un acceso universal a internet.,Los trabajadores tienen internet.
42,Imashpatak na shuk tiendata churanchik?,¿Por qué no ponemos una tiendita?,Cuál es la tienda?
42,"Ari, shinami, Fredy.","Sí, exactamente, Fredy.","S, seor Fredy."
42,Imatak shinashun.,¿Qué hacemos?,Eso es cierto.
42,Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
42,Shinapash kaypi kawsakkunapa mutsurinakunatapash rurashunmi.,Se ecompromete con varias obras sociales.,Pero en este pas el nio se acuerda con las mujeres.
42,"Kanta, ñukanchik Matildita ushikutapash.","A ti y a Matildita, nuestra hijita.","Seora, tenemos que ensearle a Matildita."
42,Chay Guapo nishka na hapichishka kakpika wichashun nishpa maskanakun.,Ese Guapo cuando no está preso lo andan buscando.,Y esa Guapo no tiene ningn trabajo en la escuela.
42,"Ari ari, chay.","Sí sí, eso.","S, s."
42,Shina rimakun mana sakishachu.,Y eso no lo voy a permitir.,Pero no lo sabemos.
42,"Yachana wasiman tikrankapak, shinaka chayka kikinkunapak hawa.","Volver a clases, pero eso sí, bajo la responsabilidad de ustedes.",Eso es lo que voy a hacer.
42,"Alli mikuytaka charinchikmi ñukanchik yuyukunata, murukunata huntachishpa mikuna kanchik.",Cuantos más colores hay en el plato mejor estamos comiendo.,"Y todos nosotros tenemos que escuchar nuestras mujeres, a nuestros amigos."
42,Kikinka imatatak ningui kay hawa?,¿Qué propone usted sobre esto?,Y qué es lo que hay?
42,Ninan nanayta charirka apéndice nishkawan.,Era una apendicitis aguda.,No sabemos que el apéndice está tan difcil.
42,Ñukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.,Por una ventaja de nueve puntos había ganado nuestro candidato Amaru Sánchez.,Nuestro candidato Amaru Sánchez está en el punto del partido.
42,"Nishkata paktachishpa, Amaru Sánchezman uchalla willaykunata kunkapak paypa ayllullaktaman rirkani.","Dicho y hecho, me fui a calentarle las orejas al dirigente Amaru Sánchez en su comunidad río arriba.","En el Barrio del Pueblo, Amaru Sánchez está en la escuela de la ciudad."
42,"Ari, ari, makita satishpa, ashnan, petróleo hicharishka.","Sí, sí, metan sus manos, apesta, petróleo derramado.","S, s y el petróleo está abierto."
42,Kaytaka kay organización mundial de la salud ukumantami shina nirka.,Ya lo declaró la Organización Mundial de la Salud.,Esto es una organización mundial de la salud.
42,"Pusak pacha tutapimi, municipiota pushak maykan misharishkataka yachashun.","A las 8 de la noche, ya están los resultados de las elecciones municipales.","En el Barrio del Pueblo y en la municipalidad, la gente tiene que ayudarse."
42,Kunanka chay hampikunataka imapash mishkitashna shina karan karankichikchi.,"Lo único que falta ahora es que se pongan a repartir anticonceptivos, como quien regala caramelos.","En el Barrio del Pueblo y en las escuelas, la gente tiene que hacer una ayuda."
42,"Tuparishun, mashikuna, tuparishun.","¡Hasta la vista, señores!","S, amigos, seoras."
42,"Ñukataka pipash mana kayashkachu, shinapash uchalla chayakrini.","A mí nadie me invitó, pero voy a tratar de llegar a tiempo.","Pero yo no sé, pero estoy trabajando."
42,Ashtawan uyakkunata charin.,Cada vez tienen más audiencia.,Eso es lo que tiene.
42,Chunka chusku capítulo,Capítulo catorce,Captulo da
42,"Shinami yarin, sukta semanakuna shina kanka.","Algo así, Unas seis semanas.","As es, tenemos unos semanas."
42,"Chayta, chayta rikuy.",Miren a aquel.,"Eso, eso tiene."
42,Tukuyllatakpacha.,Todas.,En el Barrio del Sol.
42,"Ay, tayta Dios, ay, tayta Dios.","Ay, santo Dios, ay, santo Dios.","Ay, tay Dios, abuelo."
42,"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",Si la “normalidad” que teníamos antes es el problema de ahora.,"Y en ese pas, ahora, esta gente tiene que hacer una normalidad y tener las nias."
42,"Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.","Mientras los de la radio estaban grabando en la desembocadura del río, el gerente de la empresa minera llegó a la Alcaldía.","En el Barrio del Alcalda, la gente se acuerda en una minera que tiene un gerente de la minera."
42,Kikinpaka pushak kashkamanta ashtawan imakunata ? rikushunmi.,"Naturalmente, para usted, como director, tendríamos una consideración especial.",Cómo se llama esas palabras?
42,Ñukaka kushillami kani.,Yo estoy contento.,Eso es lo que quiero decir.
42,Alli pacha.,Qué bueno.,Gracias.
42,"Wakllishka, ninkapak munanki.","Malogradas, querrá decir.","Bueno, yo no sé."
42,"Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.","Conozco el dicho, pero no sé a qué se refiere, Amaru Sánchez.","Seora, s, pero no tenemos ninguna oportunidad para ayudar, Amaru Sánchez."
42,Pichulami kan.,Pichula.,Eso es cierto.
42,"Imashinatak ñawpaman apakrinki alcaldíataka, consejo municipalwanpash imashinatak kakrin?",¿Cuál será su estilo de gobierno en la Alcaldía y con el Concejo Municipal?,"Cómo se llama la alcalda, el consejo municipal?"
42,Ñuka Matildita ushikuka yachaytapash na yachanchu paypa wiksapi ima pasakukta.,Y mi hija Matildita ni sabe lo que está pasando en su cuerpo.,Matildita es una mujer que no tiene ningn trabajo.
42,Nimata mana killkashkanchikchu cobardekunamantaka.,De los cobardes no se ha escrito nada.,No tienen ningn cobarde.
42,"Chaykunaka curakuna, pastorkuna nin.",Eso dicen los curas y los pastores.,Las cucharas y las pastores.
42,"Mana mana, wawa, mana pichula kanchu.","No no, niños, ninguna pichula.","No, nio, no sabemos."
42,Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.,¿Y por qué con esas telas no cose unas cuantas mascarillas?,Pero estos pintos no son mascarillas.
42,Imashinatak kawsakunki?,¿cómo va esa vida?,Cómo estás haciendo?
42,Ñukanchikta llakichishpa sakishka.,Se burlaron de nosotros.,Nosotros tenemos que hacer eso.
42,"Shuk muyu shina, kiru tukunkapakka ashtaka pachakuna yallinarakmi.",Como una semilla que le falta mucho para ser un árbol.,"Eso es cierto, ya sabemos que la gente tiene que llevar a sus amigos."
42,Unkushkachu kanki?,¿Estás enferma?,Qué dices?
42,Yarkaymantaka imatapash shinarinllami.,El hambre justifica los medios.,Eso es lo que voy a hacer.
42,"Eusebio, niway.","Eusebio, dime.","Eusebio, nio."
42,Apolonio Jaboneropa ayllullaktapi purikun.,Apolonio en el Barrio del Jabonero.,Apolonio Jabonero está en la escuela.
42,"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.","Sí sí, me han dicho que ahora está metido en drogas.","Bueno, las drogas están satirando."
42,Chashnapish prueba covidta katuk warmitaka ñami hapirkakuna.,"Bueno, al menos a la que vendía las pruebas de covid en la bodega, ya la agarraron.",En el prueba de covid y en las mujeres.
42,"Servinkapak kaypimi kani, pushak juez.","Para servirle, señor Juez.","En el Barrio del Servio, seor juez."
42,"Aha, imatak kaypi maskanki, Fredy.","Ajá, ¿y qué te trae por aquí?","Aha, seora Fredy."
42,Allita nishpaka ñukanchik tukuchikrinakunchik.,Di mejor: lo vamos a acabar.,Eso es lo que tenemos en nuestras escuelas.
42,"Ari, chaymantami imatapash rurana kanchik, Magdalena.","Sí, por eso tenemos que hacer algo, Magdalena.","Seora, eso no sabemos, Magdalena."
42,Pakallachu llukshirka?,¿O se escapó?,Cómo se llama?
42,"Apolonio Gutiérrez, kanka shuk hatun huchachiytami charinki.","Apolonio Gutiérrez, hay una acusación muy grave en su contra.","Apolonio Gutiérrez, estoy en ese ro."
42,"Shinapash tukuymi wicharishka, ni shuk emisora mana yaykunchu.","Y la respuesta fue que “el espectro está saturado”, que no cabe ni una emisora más.",Pero yo no sabemos que el emisor no está trabajando.
42,Na shina shinalla ashtawanmi mirakun.,Son más frecuentes de lo que pareciera.,No sé como eso.
42,Na yuyarikpika yachachisha.,"Si no se acuerdan, los enseñaré.",No sabemos nada.
42,Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,La violación de las nias está en el Barrio del Sol.
42,Uyachik antata uyankichik.,Escuchen su radio.,En el Barrio del Pueblo.
42,"Despenalizashka tukuy droga, marihuana, cocaina, shinallatak heroínata chupakkunata.","Han despenalizado el consumo de todas las drogas, desde la marihuana hasta la cocaína y la heroína.","Despenalizamos todos los drogas, marihuana, cocana y el hero."
42,"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es lo que voy a hacer, saber, digamos, seora."
42,"Ari ari, shinapash, imasha imasha?","Sí, pero ¿cómo?",Qué dices?
42,"Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak wañushkakunata, waranka contagiarishkakunamanta.","Esas emisoras y los canales de televisión solo pasan accidentes, que si ya murieron cien con el virus, que se contagiaron mil.",Y esas nuevas ayudas tienen que ser contagiadas.
42,"Kari wawakunatapash, ari, wakinpika kashna llakikunaka mana tiyanchu yuyanchik ñukanchik ayllullaktakunapi.","De niños también, sí, una pensaría que son casos excepcionales.","Esas mujeres, ahora, no tenemos ninguna oportunidad en nuestras escuelas."
42,"Chikan chikan tarpushun, tantanakushupa katushun.",Sembramos separadas pero vendemos juntas.,Eso es lo que sabemos.
42,"Shinami, shinapash mana tukuykuna kay caretawan runakunataka charinchu mashi.","Sí, pero no todo el mundo tiene gorras con careta.","Pero, pero no tienen ningn problema en las carreteras."
42,Ama kutinpash shulluchik hampikunawanka satirichu.,No se meta otra vez en líos con el médico que hace abortos,No tenemos ninguna enfermedad.
42,"Mana mana, Lula.","No no, Lula.","No, Lula."
42,Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.,Lo primero que vamos a hacer es denunciar que en esta comunidad no llega el internet.,"En el Barrio del Pueblo, la Internet no está trabajando."
42,"Kunanka visitakuna, solicitudkuna, presupuestokuna, proyectokuna kallarimun.","Y ahora comienzan las visitas, las solicitudes, los presupuestos, los proyectos.","En las visitas, solicitudes, presupuestos y proyectos."
42,Nachu pinkanayan?,¿No te da vergüenza?,Cómo se llama?
42,"Mana, killa kullkipish na tiyanchu, nima centavo.","Tampoco hay salario, ni un centavo.","No, no es un centavo, s."
42,"Kishpichiway, Eusebio.","Lo siento, Eusebio.","Gracias, Eusebio."
42,Yanapariy Pachakamak yanapachun.,Ayúdate que Dios te ayudará.,En el Barrio del Pacfico.
42,"Na kankachu, chayka na kankaka.",No será así.,"No, no no."
42,"Ari, mashi Eusebio.","Sí, don Eusebio.","S, seor Eusebio."
42,Tukuyta willana.,Que le cuenten todo.,Todo eso.
42,"Yankata willaykuna uyarin, na alli rimaykunawanpash uyarin, ari, chisme nishkakuna.","Corren los rumores, mejor dicho, los chismes.","En el Barrio del Pueblo, en las escuelas de la Guadalajara."
42,Imatapash tarina kanchik.,Hay que encontrar algo.,No sé cuántos aos.
42,Ciudadanokuna.,"Ciudadanas, ciudadanos.",Ciudadanos.
42,Ñukapash kushikuni.,El gusto es mío.,Nosotros tenemos las cosas.
42,Amaruka Alcaldíapi tiyakun.,Ahí está Amaru sentado en la Alcaldía.,Amaru ya está en la Alcalda.
42,"Chusku pachakunata, lunesmanta vierneskaman paga illak llamkakrinki.",Cuatro horas diarias lunes-viernes sin goce de haber.,Y el lunes y la viernes se llevarán a cabo.
42,Ñukanchik yaya mamakunapak pachapi shina.,Como en los tiempos de nuestras abuelas.,Nosotros tenemos que entrar a nuestros mamas.
42,"Allikuta rimashpaka, kaypika política nishkaka katuna pampa shinami kan.","Les soy sincero, aquí la política parece una feria.","En el Barrio del Pueblo, esta poltica no tiene ninguna respuesta."
42,Estadoka laico nishkami kan.,El estado es laico.,La estado laico.
42,Chayka mishanka mishankami.,Ése gana porque gana.,Eso es lo que voy a hacer.
42,Chashnallatak hawapi antenata churakrinchik.,Tiene una buena azotea para la antena.,"En el Barrio del Pueblo, tenemos una antena."
42,Wañuchikkuna ama tiyachun.,Que no hayan asesinos.,No tengan nias.
42,Ruku políticokunaka normalidadman tikranata rimanakun.,Los políticos viejos hablan de volver a la normalidad.,Y los polticos tienen una normalidad.
42,Ama chinkaychikchu.,No se lo pierdan.,No sabemos.
42,Na yapata investigana ministirinchu.,No hay que investigar mucho.,No es una investigación ministria.
42,Chunka capítulo,Capítulo diez,Captulo da
42,Ñuka churi Fredywan kushillami kani.,"Yo estoy orgulloso de Fredy, mi hijo.",Mi hijo Fredy está en el Barrio del Sol.
42,Doña Gumersinda.,Doña Gumersinda.,Doa Gumersinda.
42,"Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.","Alcaldesa Magdalena Ayala, un gusto conocerla y saludarla.","Alcaldesa Magdalena Ayala, ya tengo esos amigos."
42,"Ari, shinapacha.","Sí, eso.","S, s."
42,"Apolonio, kikinpa tantanakuyka maykantak kan?","¿Y cuál es su partido, señor Apolonio?","Apolonio, cómo es lo que quiere decir?"
42,Ninan ninan kushikushka karkanchik.,Estamos recontra felices.,No hay ningn problema.
42,Martaku.,Martita.,Martaku.
42,Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la escuela del Jabonero
42,"Shinaka, coronaviruska mana treguata kunchu.","Bueno, pues, la mala es que el coronavirus no da tregua.","Pero, el coronavirus no tiene tregua."
42,"Mana, mana.","No, no.","No, no."
42,Makipi chakipi churana rantika.,Pues en vez echarlo en las manos o en los zapatos.,Eso es lo que voy a hacer.
42,"Kanpa wawa chichuyashkata yachakchayashpaka, ishkantitami wichashpa sakinka, Marta.","Si interrumpimos el embarazo de tu hijita y se enteran, vamos presos tú y yo también.","En el Barrio del Pueblo, ya sabemos, Marta."
42,"Alcaldesa, nachu kikinllatak kutin sakirinkapak kapanki?","Usted, Alcaldesa, se va a reelegir, me imagino.","Alcaldesa, cuál es lo que tiene que hacer?"
42,"Kankunaka gobiernomanta, pushakmanta kankichik.",Y que ustedes son señores del gobierno.,"Seor gobierno, s."
42,"Shuk rueda de prensatami rurakrinchik, chaypi tapuykunata kutichinkapak.",Vamos a hacer una rueda de prensa y respondo todas las preguntas.,Ese rueda de prensa se llama a la gente y todo el hombre.
42,Shuk monjami celularpi rimakurka.,Hay una monja que habla en el celular.,Eso es una monja celular.
42,Shuk shukta willachishpa purikrichunchu munanki?,¿Quieres que vaya una por una avisando?,Cuál es la gente que llega a trabajar con esto?
42,Lunes punchata kallarishpa viernes punchakaman chusku orasta llamkakun.,Lunes a viernes cuatro horas pagando su pena.,El viernes es una buena oración en las escuelas.
42,"Mana atallpa shina kapariychu, manarak lulunta wachashpaka.",No hay que cacarear los huevos antes de ponerlos.,"No es cierto, ni sólo en la escuela."
42,Chaypipash tuksinakunamanta ninan mutsurishkakunamanta rimankapak.,Y explicar la importancia de las vacunas.,Eso es lo que llamamos en las escuelas.
42,"Rikuychik, reguetónta takik chica fuego kuytsapashmi candidata tukushka.",Y hasta la reguetonera Chica Fire se lanzó como candidata.,"En el Barrio del Reguetón, un candidato a la chica fuego."
42,"Mana, mama, mana.","No, no, no.","No, mama, no."
42,"Mama, ñukaka puñukurkanimi.","Mamá, yo estaba durmiendo.","Mamá, yo tengo esa pregunta."
42,"Mana shinachu, mashi.","No es así, señora.","No sé, seor."
42,"Wawa, kunanka ima punchatak kan?","¿Qué día es hoy, hijo?",Qué dices?
42,Ama kayta rurawaychikchu.,No me hagan esto.,No sabemos eso.
42,Shinachari kan?,"¿Así es la cosa, mariposa?",Y qué?
42,"Macondopi nishka shina tamyaka mana shayarirkachu nin, shinallatak kaypi tamyarka.",Como el de Macondo donde dicen que no paraba de llover.,"La Macondopi no tiene ningn trabajo, pero es una buena cosa."
42,Wakin llantakunata charinkapak pachamamapa alli yanapawashkami.,Hoy me ha ayudado Dios a tener algunas llantas para parchar.,Los llantas tienen que aprender en el Barrio del Sol.
42,"Ari, ari, ña uyarkanimi Manolo kaypi llamkankapak munakta.","Sí, sí, ya escuché que Manolo quiere trabajar con nosotros.","Bueno, ya sabemos que Manolo está en el Barrio del Mundo."
42,Ñuka urpiku.,Conejita mía.,Yo voy a llamar.
42,Kikinka nachu chay síndrome de Down nishkawan churita charinki?,¿Usted no es el que tiene un hijo down?,Y qué es la sndrome de Down?
42,Chay tantamantallatak muspaña,Carecos de la misma argolla,Esta mujer es muy buena.
42,Wiksa urapi kuchushkata rikupaylla.,Puede comprobar la cicatriz en su bajo vientre.,Los nios están en el árbol de la escuela.
42,"Kanpa churika sinchillamkak wamprami kan, Eusebio.","Muy trabajador tu hijo, Eusebio.","Pero eso no sabemos, Eusebio."
42,Policía ñami shamukun.,La policía ya viene de camino.,La polica está ayudando.
42,"Ari, chaymantallatak, kay tantanakuypika yachak tukushkakunata mana munanchikchu.","Por eso mismo, en este grupo no queremos caudillos sabelotodo.","Seora, eso no sabemos que la gente está en las escuelas del mundo."
42,Josefina kumariman willakrini.,Le voy a contar a mi comadre Josefina.,Josefina está en el Barrio del Sol.
42,Ñami ñami bonokunata kunakunchik pandemiamanta wichashka uchilla comersiantekunaman.,Ya estamos dando bonos a los pequeños comercios que han cerrado por la pandemia.,Tenemos bonos y comercios en la pandemia.
