input_kichwa,referencia_es,prediccion_es
"Hala hala Amaru, shinaka, waynayak wasikuna katinkacha?","Pero ¿seguirán las zonas de tolerancia, como les llaman?",Cómo se llama Amaru?
"Pay, mashi, pay, pero uyaway, ñukata uyaway.","Gracias, amigo, gracias, pero escúcheme.","No, seora, no, pero yo, qué qué?"
Paypa riksik médico kay hampik mashipaman tapunkapak rirkami.,Me contó que iba a consultarle a un médico de su confianza.,Y el médico en la escuela se acuerdó con las mujeres.
"Shinapash ñami piñarishkakuna kay enemigo runakunata charin, empresariokunata, gobiernomanta runakunata.","Ya tiene muchos enemigos entre los empresarios, entre gente del gobierno.","Pero tenemos que hacer enemigos, empresarios y gobiernos."
Kikin manarak vacunarinachu karkanki.,Usted no consta en la lista prioritaria de personal a vacunarse.,Eso no es vacunado.
Payka mana ishkay siki mashichu.,"Un hombre serio, a carta cabal.",No sé esos amigos.
"Willachiy, ama llulla shimikunawan sakirichun.",Diles que no se dejen engañar por palabras bonitas.,"S, no hay ningn trabajo en el mundo."
"Uyachik antakunaka anunciokunata yallichishpami kawsan, nachu?","Un medio de comunicación vive de los anuncios, ¿no es cierto?",Cómo se llama las anuncios?
Kari warmi tukuyka kimirinlla ninmi.,Y la mariconada se pega.,Y esa mujer tiene una buena vida.
Alli pacha!,Qué bueno.,Gracias!
Chayshu kalluka llullankapak.,Y otra para no cumplir.,Eso es lo que voy a hacer.
"Pirkaman, tukuykuna.",Todos a la pared.,"Gracias, seoras."
Llaki pacha mari kanchik.,Qué desastre.,Eso es lo que voy a hacer.
"Shuk wasipi cebollakunata charikpika, rantika papakunata kuyta ushanchik.",Si en una casa cosechan cebollas pueden cambiarlas por papas.,Esas cebollas y las papas se encuentran.
Ñukapash shinami tapurini.,Lo mismo me pregunto yo.,Eso es lo que quiero decir.
Imasha Al Capone tiempopi alcohol prohibiciónwan.,Como en los tiempos de Al Capone con la prohibición del alcohol.,"En el tiempo al Capone, la prohibición de alcohol."
Paktarak shimikunawan.,"Señora, tenga cuidado con las palabras.",Eso es una emisora.
"Kikinka manachu yachanki, pushak alcaldesa, covid unkuyka huchakuna hunta kashkamanta, supaypak ruraykunami kan,t ukuy runakunata manchachishka charinkapak?","¿Acaso usted no sabe, señora alcaldesa, que el covid es el resultado de la acumulación de pecados, que es una táctica de Satanás para desatar el pánico y controlar a la humanidad?","Y cuántos nios, alcaldesa, covid y el hombre en la escuela, aqu tenemos raz de las mujeres?"
Chaymi kanta kayashkani.,Por eso te he llamado.,Eso es lo que voy a dar.
"Dios yayapak, Dios churipak, Espíritu Santopak.","En el nombre del Padre, del Hijo y del Espíritu Santo.",Espritu Santo es Dios.
"Mana, pushak juez.","No, señor juez.","No, seor juez."
Hawa pachamanta ushashka punchayamurka.,Comenzaron a caer rayos y centellas.,Eso es una emisora de agua.
"Chaykunatami uyachik antapa willachina kanchik, tukuy yachachun.",Esas cosas tenemos que decir en la radio para que se sepan.,"Y aqu tenemos esos trabajos, ya s."
Nachu shina yari.,¿No es verdad?,No sé.
Ashtaka ayllukunami kikinkunata katinakun.,Muchas familias están siguiendo ese buen ejemplo.,Y esas ayudas están en la escuela.
"Wayra purichun, ventanakunata paskashka kachun.",Con ventanas abiertas para que el aire circule.,Y las ventanas están en el ro.
"Kiwa yakuta upiyashpa, ñallami alli tukunka.","Pero tomando sus hierbitas, ya va a mejorar.",Cómo se llama eso?
Shinaka tomate wiñankakaman imatapash rurana kanchik.,"Pero en lo que crecen los tomates, tenemos que hacer algo.",Pero el tomate no tiene ninguna razón.
"Uyay, uyay, kikinta, ari, kikinta nini, mashi.","Ey, usted, amigo.","No, no, nios, seora."
"Chaypichu kanki, Miguelina?",¿Estás ahí?,"Qué dice, Miguelina?"
Kay mushuk partido políticopak yuyaykunaka yalli llakimi uyarin.,Y le confieso que las ideas de ese nuevo partido político nos resultan muy peligrosas.,Esto es una partida poltica muy encantadora.
"Achkatatak mancharirinika, paniku.","Se me eriza la piel, hermana.","Gracias, seora."
"Shinapash, mama.","Pero, señora.","Pero, hermana."
Chay kawsayta kuyanchik nikkunaka kashnami nishkakuna.,Esos provida que tú dices se inventaron como así.,Y aqu tenemos que hacer esos trabajos.
"Ay, ima nini yari.",Quiero decir.,"Ay, no sé."
Shinapash yarkayka mana rishkachu.,Pero el hambre no ha desaparecido.,Pero no sé.
"Panika mancharishkami, razónta charinmi.",La hermana está alterada y no le falta razón.,"Gracias, la razón."
"Shinallatak, yachanami kankichik alli kawsaypak.",Y también tienen que aprender cosas útiles para la vida.,"Bueno, eso no está tan difcil."
Shinami shuk yuyak runa nin karyan.,Así decía un filósofo.,Eso es lo que voy a hacer.
Pay presidenteka wañuchik presidentemi kan.,Fue un presidente criminal.,Y el presidente no sabe a nios.
Chaykunami allipacha lavanderíakuna kan.,Esas son las verdaderas lavanderías.,Esos lavanderas están en el Barrio del Sol.
"Shinapash ñukaka mana oro kanichu tukuykuna alli rikuchun, alcaldesa.","Bueno, no soy monedita de oro para caerle bien a todos, Alcaldesa.","Pero yo no tengo ninguna oro, alcaldesa."
Shuk kuchikuta rifapi churakripanchik.,Y una rifa por un chancho asado.,Eso es lo que acabamos de hacer.
Tukuyta apakrini.,Me los llevo todos.,Eso es lo que voy a hacer.
Mana kullkipak llamkanchikchu ninakun.,Ellos dicen que no tienen fines de lucro.,No tiene ningn trabajo.
Huyayay Cristo Rey!,¡Y viva Cristo Rey!,"Gracias, Cristo Rey!"
"Chaymantallatak, Fredy, discriminación hawa shuk layami kanchik.","Pues sobre eso mismo, Fredy, sobre la discriminación, somos diferentes.","En el mundo, Fredy, la discriminación está muy importante."
"Mashikuna, ñukanchik tantanakuyka wiñashkami.","Bueno, compañeros, compañeras, nuestro partido ha crecido.","Seoras, tenemos que hacer esos trabajos."
"Kikin nishkanki, yankalla uyachik antami.","Usted lo ha dicho, una radio pirata.","Bueno, eso no sabemos nada."
"Mashikuna kayman shamushpa napaykunata, ima willachiykunata chayachikpi allimi kan.","Que la gente venga aquí a saludar, a denunciar, está mejor.",La gente y el nio están en la escuela.
"Kunakuna, nahuakuna, mayakuna, shipibokuna, borakuna.","Kunas, Nahuas, Mayas, Shipibos, Boras.","Los nios, los hijos y los marinos, el shipigo, las boracas."
Tukuykuna internetta charichunmi kaparishun.,Exigiremos un acceso universal a internet.,Los trabajadores tienen el internet.
Imashpatak na shuk tiendata churanchik?,¿Por qué no ponemos una tiendita?,Y qué tiene eso?
"Ari, shinami, Fredy.","Sí, exactamente, Fredy.","S, Fredy."
Imatak shinashun.,¿Qué hacemos?,Eso es cierto.
Pandemiamanta rimaykuna,Historias de la pandemia,La pandemia
Shinapash kaypi kawsakkunapa mutsurinakunatapash rurashunmi.,Se ecompromete con varias obras sociales.,Pero eso no sabemos que las nias están trabajando.
"Kanta, ñukanchik Matildita ushikutapash.","A ti y a Matildita, nuestra hijita.","Bueno, tengo que ensear a Matildita."
Chay Guapo nishka na hapichishka kakpika wichashun nishpa maskanakun.,Ese Guapo cuando no está preso lo andan buscando.,En el Barrio del Guapo y en las escuelas.
"Ari ari, chay.","Sí sí, eso.","S, s."
Shina rimakun mana sakishachu.,Y eso no lo voy a permitir.,Eso no es cierto.
"Yachana wasiman tikrankapak, shinaka chayka kikinkunapak hawa.","Volver a clases, pero eso sí, bajo la responsabilidad de ustedes.","Eso es lo que llamamos, y tenemos que hacer aqu."
"Alli mikuytaka charinchikmi ñukanchik yuyukunata, murukunata huntachishpa mikuna kanchik.",Cuantos más colores hay en el plato mejor estamos comiendo.,Y ahora tenemos esos trabajos de la gente y de los muertos.
Kikinka imatatak ningui kay hawa?,¿Qué propone usted sobre esto?,Y qué es lo que hay?
Ninan nanayta charirka apéndice nishkawan.,Era una apendicitis aguda.,No sé que el apéndice no tiene.
Ñukanchik Amaru Sánchez candidatomi iskun puntowan mishashka.,Por una ventaja de nueve puntos había ganado nuestro candidato Amaru Sánchez.,La candidata de Amaru Sánchez es un punto más importante.
"Nishkata paktachishpa, Amaru Sánchezman uchalla willaykunata kunkapak paypa ayllullaktaman rirkani.","Dicho y hecho, me fui a calentarle las orejas al dirigente Amaru Sánchez en su comunidad río arriba.","En ese momento, Amaru Sánchez está en la escuela de los aguas."
"Ari, ari, makita satishpa, ashnan, petróleo hicharishka.","Sí, sí, metan sus manos, apesta, petróleo derramado.","Seora, s, la gente y el petróleo."
Kaytaka kay organización mundial de la salud ukumantami shina nirka.,Ya lo declaró la Organización Mundial de la Salud.,As es que la organización mundial de la salud está abierta.
"Pusak pacha tutapimi, municipiota pushak maykan misharishkataka yachashun.","A las 8 de la noche, ya están los resultados de las elecciones municipales.","Pero en el pas, la municipio está trabajando."
Kunanka chay hampikunataka imapash mishkitashna shina karan karankichikchi.,"Lo único que falta ahora es que se pongan a repartir anticonceptivos, como quien regala caramelos.",Y esos hambres no tienen ningn agua.
"Tuparishun, mashikuna, tuparishun.","¡Hasta la vista, señores!","S, amigos, seoras."
"Ñukataka pipash mana kayashkachu, shinapash uchalla chayakrini.","A mí nadie me invitó, pero voy a tratar de llegar a tiempo.","Eso no es cierto, pero estoy aqu."
Ashtawan uyakkunata charin.,Cada vez tienen más audiencia.,Eso es lo que tiene.
Chunka chusku capítulo,Capítulo catorce,Captulo da
"Shinami yarin, sukta semanakuna shina kanka.","Algo así, Unas seis semanas.",Eso es lo que tenemos en los semanas.
"Chayta, chayta rikuy.",Miren a aquel.,"S, s."
Tukuyllatakpacha.,Todas.,En el Barrio del Pueblo.
"Ay, tayta Dios, ay, tayta Dios.","Ay, santo Dios, ay, santo Dios.","Ay, tay Dios?"
"Kunan llakikunata charinchik, ari, chayka kayna punchakuna washa normalidad nishkata chaypi kawsanakuymanta kay llakipi kawsanakunchik.",Si la “normalidad” que teníamos antes es el problema de ahora.,"En ese pas, ahora, la normalidad de la gente está en las escuelas."
"Uyachik antapi llamkakkuna, hatun larkapi grabashka llamkanakunkakamanka mineramanta gerenteka alcaldía ukuman chayarka.","Mientras los de la radio estaban grabando en la desembocadura del río, el gerente de la empresa minera llegó a la Alcaldía.","En el Barrio del Alcalda, la gente está en la salud de la minera."
Kikinpaka pushak kashkamanta ashtawan imakunata ? rikushunmi.,"Naturalmente, para usted, como director, tendríamos una consideración especial.",Cómo vamos a hacer eso?
Ñukaka kushillami kani.,Yo estoy contento.,Eso es lo que me gusta.
Alli pacha.,Qué bueno.,Gracias.
"Wakllishka, ninkapak munanki.","Malogradas, querrá decir.","Bueno, yo no sé."
"Ari, nishkataka riksinimi, shinapash imata ninkapak munakukta na hamuktanichu, Amaru Sánchez.","Conozco el dicho, pero no sé a qué se refiere, Amaru Sánchez.","Bueno, ya sabemos que no tenemos ninguna comida, Amaru Sánchez."
Pichulami kan.,Pichula.,Gracias.
"Imashinatak ñawpaman apakrinki alcaldíataka, consejo municipalwanpash imashinatak kakrin?",¿Cuál será su estilo de gobierno en la Alcaldía y con el Concejo Municipal?,"Cómo se llama la alcalda, el consejo municipal?"
Ñuka Matildita ushikuka yachaytapash na yachanchu paypa wiksapi ima pasakukta.,Y mi hija Matildita ni sabe lo que está pasando en su cuerpo.,Matildita es una persona que no tiene ningn trabajo.
Nimata mana killkashkanchikchu cobardekunamantaka.,De los cobardes no se ha escrito nada.,No hay ningn cobar de la tierra.
"Chaykunaka curakuna, pastorkuna nin.",Eso dicen los curas y los pastores.,Esas cuadas y pastores.
"Mana mana, wawa, mana pichula kanchu.","No no, niños, ninguna pichula.","No, nio, no sé."
Shinaka imashpatak chay pintukunawan mana mascarillakunata sirankichik.,¿Y por qué con esas telas no cose unas cuantas mascarillas?,Pero no hay pintas ni mascarillas.
Imashinatak kawsakunki?,¿cómo va esa vida?,Qué dices?
Ñukanchikta llakichishpa sakishka.,Se burlaron de nosotros.,Eso es lo que voy a hacer.
"Shuk muyu shina, kiru tukunkapakka ashtaka pachakuna yallinarakmi.",Como una semilla que le falta mucho para ser un árbol.,"Eso es cierto, ya sabemos que la gente tiene una oportunidad de ayudar."
Unkushkachu kanki?,¿Estás enferma?,Qué dices?
Yarkaymantaka imatapash shinarinllami.,El hambre justifica los medios.,Eso es lo que llamamos.
"Eusebio, niway.","Eusebio, dime.","Eusebio, no sé."
Apolonio Jaboneropa ayllullaktapi purikun.,Apolonio en el Barrio del Jabonero.,Apolonio Jabonero está en la escuela.
"Ari ari, kunanka drogakunapi satirishka nishpa willachiwashka.","Sí sí, me han dicho que ahora está metido en drogas.","Bueno, las drogas están satirando."
Chashnapish prueba covidta katuk warmitaka ñami hapirkakuna.,"Bueno, al menos a la que vendía las pruebas de covid en la bodega, ya la agarraron.",Con el prueba de covid y las mujeres que tengan en la escuela.
"Servinkapak kaypimi kani, pushak juez.","Para servirle, señor Juez.","Eso es lo que voy a hacer, seor juez."
"Aha, imatak kaypi maskanki, Fredy.","Ajá, ¿y qué te trae por aquí?","Aha, ese mascarilla, Fredy."
Allita nishpaka ñukanchik tukuchikrinakunchik.,Di mejor: lo vamos a acabar.,Eso es lo que llamamos en las escuelas.
"Ari, chaymantami imatapash rurana kanchik, Magdalena.","Sí, por eso tenemos que hacer algo, Magdalena.","Seora, eso no sabe nada, Magdalena."
Pakallachu llukshirka?,¿O se escapó?,Cómo se llama?
"Apolonio Gutiérrez, kanka shuk hatun huchachiytami charinki.","Apolonio Gutiérrez, hay una acusación muy grave en su contra.","Apolonio Gutiérrez, es una gente que está en la escuela."
"Shinapash tukuymi wicharishka, ni shuk emisora mana yaykunchu.","Y la respuesta fue que “el espectro está saturado”, que no cabe ni una emisora más.",Pero yo no sé que el emisor no está haciendo.
Na shina shinalla ashtawanmi mirakun.,Son más frecuentes de lo que pareciera.,No sé como eso.
Na yuyarikpika yachachisha.,"Si no se acuerdan, los enseñaré.",No tenemos ninguna respeto.
Ayllu ukukunapika machashka kusakunami violashpa chichu sakin.,Los que embarazan son los maridos borrachos que las violan dentro del matrimonio.,La violación es una de las nias que tenemos en la escuela.
Uyachik antata uyankichik.,Escuchen su radio.,Eso es lo que voy a hacer.
"Despenalizashka tukuy droga, marihuana, cocaina, shinallatak heroínata chupakkunata.","Han despenalizado el consumo de todas las drogas, desde la marihuana hasta la cocaína y la heroína.","Despenalizamos drogas, marihuana, cocana y heronos."
"Imanallatak kanki, shamupay, yaykuripay, tiyaripay.","¿Cómo estás?, venga, entre, siéntese.","Eso es lo que sabemos, ayudarse, todava."
"Ari ari, shinapash, imasha imasha?","Sí, pero ¿cómo?",Qué dices?
"Chay uyana antakunapika llakikunatalla yallichin, millay unkuywan patsak wañushkakunata, waranka contagiarishkakunamanta.","Esas emisoras y los canales de televisión solo pasan accidentes, que si ya murieron cien con el virus, que se contagiaron mil.","Y aqu tenemos que hacer esos amigos de la gente, ya que no tienen ningn trabajo, sin contagiar."
"Kari wawakunatapash, ari, wakinpika kashna llakikunaka mana tiyanchu yuyanchik ñukanchik ayllullaktakunapi.","De niños también, sí, una pensaría que son casos excepcionales.","Y a los nios, amigos y nuestras mujeres no han tenido nada en el pas."
"Chikan chikan tarpushun, tantanakushupa katushun.",Sembramos separadas pero vendemos juntas.,Gracias a la gente y las mujeres.
"Shinami, shinapash mana tukuykuna kay caretawan runakunataka charinchu mashi.","Sí, pero no todo el mundo tiene gorras con careta.",Pero no tienen ningn problema en las carreteras.
Ama kutinpash shulluchik hampikunawanka satirichu.,No se meta otra vez en líos con el médico que hace abortos,No sé cuántos aos están en el pas.
"Mana mana, Lula.","No no, Lula.","No, Lula."
Kallariypika kay ayllullaktakunapi internet mana tiyanchu nishpa willachikrinchik.,Lo primero que vamos a hacer es denunciar que en esta comunidad no llega el internet.,"En el Barrio del Pueblo, la Internet no tiene ninguna respuesta."
"Kunanka visitakuna, solicitudkuna, presupuestokuna, proyectokuna kallarimun.","Y ahora comienzan las visitas, las solicitudes, los presupuestos, los proyectos.","En las visitas, solicitudes, presupuestos y proyectos."
Nachu pinkanayan?,¿No te da vergüenza?,No es cierto?
"Mana, killa kullkipish na tiyanchu, nima centavo.","Tampoco hay salario, ni un centavo.","No, no es un centavo."
"Kishpichiway, Eusebio.","Lo siento, Eusebio.","Gracias, Eusebio."
Yanapariy Pachakamak yanapachun.,Ayúdate que Dios te ayudará.,En el Barrio del Pueblo.
"Na kankachu, chayka na kankaka.",No será así.,"No es cierto, s."
"Ari, mashi Eusebio.","Sí, don Eusebio.","S, seor Eusebio."
Tukuyta willana.,Que le cuenten todo.,Gracias.
"Yankata willaykuna uyarin, na alli rimaykunawanpash uyarin, ari, chisme nishkakuna.","Corren los rumores, mejor dicho, los chismes.","Y esas palabras, ya tenemos que entrar a la gente, todava, están trabajando."
Imatapash tarina kanchik.,Hay que encontrar algo.,Eso es la razón del tiempo.
Ciudadanokuna.,"Ciudadanas, ciudadanos.",Ciudadanos.
Ñukapash kushikuni.,El gusto es mío.,Qué tiene eso?
Amaruka Alcaldíapi tiyakun.,Ahí está Amaru sentado en la Alcaldía.,Amaru a Alcalda.
"Chusku pachakunata, lunesmanta vierneskaman paga illak llamkakrinki.",Cuatro horas diarias lunes-viernes sin goce de haber.,Y el lunes y viernes se llevarán a cabo.
Ñukanchik yaya mamakunapak pachapi shina.,Como en los tiempos de nuestras abuelas.,Y yo sabemos que la gente es una mujer.
"Allikuta rimashpaka, kaypika política nishkaka katuna pampa shinami kan.","Les soy sincero, aquí la política parece una feria.","En ese pas, la poltica no tiene ninguna razón."
Estadoka laico nishkami kan.,El estado es laico.,Estado laico.
Chayka mishanka mishankami.,Ése gana porque gana.,Eso es lo que voy a hacer.
Chashnallatak hawapi antenata churakrinchik.,Tiene una buena azotea para la antena.,En el Barrio del Pueblo hay una antena.
Wañuchikkuna ama tiyachun.,Que no hayan asesinos.,No sabemos ni nada.
Ruku políticokunaka normalidadman tikranata rimanakun.,Los políticos viejos hablan de volver a la normalidad.,"En el Barrio del Pueblo, los polticos tienen una normalidad."
Ama chinkaychikchu.,No se lo pierdan.,No sé.
Na yapata investigana ministirinchu.,No hay que investigar mucho.,No es un ministro de investigación.
Chunka capítulo,Capítulo diez,Captulo
Ñuka churi Fredywan kushillami kani.,"Yo estoy orgulloso de Fredy, mi hijo.",Y yo tengo Fredy.
Doña Gumersinda.,Doña Gumersinda.,Doa Gumersinda.
"Alcaldesa Magdalena Ayala, minkachiway, kushikushkami kani kikinta riksishkamanta.","Alcaldesa Magdalena Ayala, un gusto conocerla y saludarla.","Alcaldesa Magdalena Ayala, en el Barrio del Lbano, está trabajando."
"Ari, shinapacha.","Sí, eso.","S, seora."
"Apolonio, kikinpa tantanakuyka maykantak kan?","¿Y cuál es su partido, señor Apolonio?","Apolonio, qué es lo que hay que hacer?"
Ninan ninan kushikushka karkanchik.,Estamos recontra felices.,No hay ningn problema.
Martaku.,Martita.,Martaku.
Jaboneropak ayllullaktapi,En el Barrio del Jabonero,En la ciudad de la Jabonero
"Shinaka, coronaviruska mana treguata kunchu.","Bueno, pues, la mala es que el coronavirus no da tregua.","Pero, el coronavirus no tiene tregua."
"Mana, mana.","No, no.","No, no."
Makipi chakipi churana rantika.,Pues en vez echarlo en las manos o en los zapatos.,Eso es lo que sabemos.
"Kanpa wawa chichuyashkata yachakchayashpaka, ishkantitami wichashpa sakinka, Marta.","Si interrumpimos el embarazo de tu hijita y se enteran, vamos presos tú y yo también.","Y esa nia se encuentra, Marta."
"Alcaldesa, nachu kikinllatak kutin sakirinkapak kapanki?","Usted, Alcaldesa, se va a reelegir, me imagino.","Alcaldesa, cuál es lo que tiene que hacer?"
"Kankunaka gobiernomanta, pushakmanta kankichik.",Y que ustedes son señores del gobierno.,"Seor gobierno, s."
"Shuk rueda de prensatami rurakrinchik, chaypi tapuykunata kutichinkapak.",Vamos a hacer una rueda de prensa y respondo todas las preguntas.,Ese rueda de prensa es una ciudad de la gente.
Shuk monjami celularpi rimakurka.,Hay una monja que habla en el celular.,Eso es una monja celular.
Shuk shukta willachishpa purikrichunchu munanki?,¿Quieres que vaya una por una avisando?,Cómo vamos a hacer eso?
Lunes punchata kallarishpa viernes punchakaman chusku orasta llamkakun.,Lunes a viernes cuatro horas pagando su pena.,El viernes es un da de agua en la ciudad del norte.
"Mana atallpa shina kapariychu, manarak lulunta wachashpaka.",No hay que cacarear los huevos antes de ponerlos.,"No tenemos ninguna otra vez, pero el lulu está abierto."
Chaypipash tuksinakunamanta ninan mutsurishkakunamanta rimankapak.,Y explicar la importancia de las vacunas.,Eso es lo que llamamos en las escuelas.
"Rikuychik, reguetónta takik chica fuego kuytsapashmi candidata tukushka.",Y hasta la reguetonera Chica Fire se lanzó como candidata.,"En el Barrio del Reguetón, la candidata de la chica fuego."
"Mana, mama, mana.","No, no, no.","No, mama, no."
"Mama, ñukaka puñukurkanimi.","Mamá, yo estaba durmiendo.","Mamá, yo estoy ayudado."
"Mana shinachu, mashi.","No es así, señora.","No sé, seora."
"Wawa, kunanka ima punchatak kan?","¿Qué día es hoy, hijo?",Y qué dices?
Ama kayta rurawaychikchu.,No me hagan esto.,No sé cómo eso.
Shinachari kan?,"¿Así es la cosa, mariposa?",Y qué?
"Macondopi nishka shina tamyaka mana shayarirkachu nin, shinallatak kaypi tamyarka.",Como el de Macondo donde dicen que no paraba de llover.,"El Macondo no tiene ningn trabajo, pero es una buena cosa."
Wakin llantakunata charinkapak pachamamapa alli yanapawashkami.,Hoy me ha ayudado Dios a tener algunas llantas para parchar.,Y las llantas están trabajando en ese pas.
"Ari, ari, ña uyarkanimi Manolo kaypi llamkankapak munakta.","Sí, sí, ya escuché que Manolo quiere trabajar con nosotros.","No, no, ya sabemos que Manolo está en el mundo."
Ñuka urpiku.,Conejita mía.,Eso es cierto.
Kikinka nachu chay síndrome de Down nishkawan churita charinki?,¿Usted no es el que tiene un hijo down?,Y qué es la sndrome de Down?
Chay tantamantallatak muspaña,Carecos de la misma argolla,Esta mujer es muy buena.
Wiksa urapi kuchushkata rikupaylla.,Puede comprobar la cicatriz en su bajo vientre.,Nosotros tenemos esos cuatro urapis.
"Kanpa churika sinchillamkak wamprami kan, Eusebio.","Muy trabajador tu hijo, Eusebio.","Eso es una buena vida, Eusebio."
Policía ñami shamukun.,La policía ya viene de camino.,La polica está ayudando.
"Ari, chaymantallatak, kay tantanakuypika yachak tukushkakunata mana munanchikchu.","Por eso mismo, en este grupo no queremos caudillos sabelotodo.","Seora, ya no sabemos que esos trabajadores no se han tenido."
Josefina kumariman willakrini.,Le voy a contar a mi comadre Josefina.,Josefina es una ciudadana.
Ñami ñami bonokunata kunakunchik pandemiamanta wichashka uchilla comersiantekunaman.,Ya estamos dando bonos a los pequeños comercios que han cerrado por la pandemia.,Y los bonos y los comeras de la pandemia.
"Allika yanapariykuna, mushuk proyectokunata llukchinkapak yuyaykuna, tantanakushpa llamkaykuna.","Lo mejor: la solidaridad, la imaginación para emprender proyectos nuevos, negocios cooperativos.",Y ahora tenemos esos proyectos y otras cosas.
Waktashkakunata rikuchiway.,Enseñe los golpes.,La gente está en la escuela.
"Yuyariychik, ima shinatak waminsi wasipika yallishkata.",Acuérdense de lo que pasó en la casa rosada.,Y yo sabemos que eso no está trabajando.
"Allita nishpaka, ñukanchik tukuchikrinakunchik.",Di mejor: lo vamos a acabar.,"Por eso, tenemos que aprender."
Paywanmi kay alcaldíataka mishakrinchik ninmi.,"Con él ganamos la Alcaldía, así dicen.",En el Barrio del Alcalda.
"Ari, chaytami rurakrini.","Sí, eso voy a hacer.","Bueno, eso está bien llamado."
Ñukaka ima mapa llamkaykunapi kankita yachanimi.,Yo sé en la porquería en que andas metido.,Eso es lo que voy a hacer en este pas.
Kikinkunaka Pablopa nikushkakunata katipaychik.,Usted siga a San Pablo.,"Y a m, Pablo es una mujer de la gente."
"Pandemiatapash yalli, tayta Dios ninanta tamyata kachamushkatapash yallimi.","Una emergencia más peligrosa que la pandemia, peor que la inundación que Dios nos envió en estos días.","En la pandemia, en el mundo de Dios."
Nima kullkitapish na hapinakunchik.,Sin cobrar nada.,No tenemos ninguna solución.
"Chay shukpa rinki, chay shukpa.",En otra te toca.,Aqu está el ro de la tierra.
